country,concat_name,gini_lis_1975_1985,gini_lis_2010_2016,lis_t1_sh_all,lis_t1_sh_emp_wrkage,lis_t1_sh_wrkage,manager_inc_ratio50,manager_inc_ratio90,maxy,occupation_occb1,prof_inc_ratio50,prof_inc_ratio90,prof_vs_manage,sector_indb1,sh_top1_bus_services,sh_top1_dentist,sh_top1_doctor,sh_top1_engin,sh_top1_finance,sh_top1_health_edu_pub,sh_top1_lawyer,sh_top1_legal_accounting_serv,sh_top1_manager_occ,sh_top1_mfg_mining,sh_top1_not_elite_occ,sh_top1_prof_occ,sh_top1_technicians,top1_ratio,year,CGmanager_inc_ratio50,CGmanager_inc_ratio90,CGprof_inc_ratio50,CGprof_inc_ratio90,CGsh_top1_bus_services,CGsh_top1_dentist,CGsh_top1_doctor,CGsh_top1_engin,CGsh_top1_finance,CGsh_top1_health_edu_pub,CGsh_top1_lawyer,CGsh_top1_legal_accounting_serv,CGsh_top1_manager_occ,CGsh_top1_mfg_mining,CGsh_top1_not_elite_occ,CGsh_top1_prof_occ,CGsh_top1_technicians,CTmanager_inc_ratio50,CTmanager_inc_ratio90,CTprof_inc_ratio50,CTprof_inc_ratio90,CTsh_top1_bus_services,CTsh_top1_dentist,CTsh_top1_doctor,CTsh_top1_engin,CTsh_top1_finance,CTsh_top1_health_edu_pub,CTsh_top1_lawyer,CTsh_top1_legal_accounting_serv,CTsh_top1_manager_occ,CTsh_top1_mfg_mining,CTsh_top1_not_elite_occ,CTsh_top1_prof_occ,CTsh_top1_technicians
"Australia","Australia2010",.2865,.33,.0967111,.0707696,.079611,,,2010,"[3]technicians and associate professionals",,,0,"[2]mining manufacturing utilities",.281062,,.08,,.0958436,.1869526,,,.4821892,.1615775,.1151713,.4026395,.0271658,7.049612,2010,.3291311,.6897243,.8092569,.8070074,-.4147004,-.4789418,-.3515335,.2692397,-.3420287,.5716606,-.1564869,-.1745395,-.2707855,-.009742,.2609326,.0488088,-.0388717,.2930876,.7044612,.7562642,.8021592,-.3957308,-.5164199,-.2743839,.2000307,-.3883038,.6719555,-.1866097,-.1318604,-.158884,-.1657259,.1193292,.0411243,-.1923411
"Austria","Austria2013",,.279,.076228,.0621949,.0666667,1.68711,3.786731,2013,"[3]technicians and associate professionals",1.327252,2.68711,1,"[2]mining manufacturing utilities",.096864,,,.08,.0184955,.1683038,.04,.0243141,.2501114,.3287007,.3420196,.407869,.0804729,5.822714,2013,.3291311,.6897243,.8092569,.8070074,-.4147004,-.4789418,-.3515335,.2692397,-.3420287,.5716606,-.1564869,-.1745395,-.2707855,-.009742,.2609326,.0488088,-.0388717,.2930876,.7044612,.7562642,.8021592,-.3957308,-.5164199,-.2743839,.2000307,-.3883038,.6719555,-.1866097,-.1318604,-.158884,-.1657259,.1193292,.0411243,-.1923411
"Belgium","Belgium2000",.227,,,,,,,2000,"[3]technicians and associate professionals",,,1,"",,,,,,,,,.3962352,,.19149,.4122748,.0719022,,2000,.3291311,.6897243,.8092569,.8070074,-.4147004,-.4789418,-.3515335,.2692397,-.3420287,.5716606,-.1564869,-.1745395,-.2707855,-.009742,.2609326,.0488088,-.0388717,.2930876,.7044612,.7562642,.8021592,-.3957308,-.5164199,-.2743839,.2000307,-.3883038,.6719555,-.1866097,-.1318604,-.158884,-.1657259,.1193292,.0411243,-.1923411
"Brazil","Brazil2013",,.455,.1660971,.1165209,.1367017,2.703515,9.011715,2013,"[3]technicians and associate professionals",2.388104,8.010439,1,"[2]mining manufacturing utilities",.1770906,.01,.01,,.0572144,.3909864,,,.3194855,.1154037,.2010112,.4795033,.0804689,15.28237,2013,.3291311,.6897243,.8092569,.8070074,-.4147004,-.4789418,-.3515335,.2692397,-.3420287,.5716606,-.1564869,-.1745395,-.2707855,-.009742,.2609326,.0488088,-.0388717,.2930876,.7044612,.7562642,.8021592,-.3957308,-.5164199,-.2743839,.2000307,-.3883038,.6719555,-.1866097,-.1318604,-.158884,-.1657259,.1193292,.0411243,-.1923411
"Canada","Canada2010",.2865,.319,.0831421,.0667137,.0714226,1.467238,3.061849,2011,"[3]technicians and associate professionals",,,1,"[2]mining manufacturing utilities",,,,,,.2090723,,,.48,.1252811,.17,.35,.0846494,4.635027,2011,.3291311,.6897243,.8092569,.8070074,-.4147004,-.4789418,-.3515335,.2692397,-.3420287,.5716606,-.1564869,-.1745395,-.2707855,-.009742,.2609326,.0488088,-.0388717,.2930876,.7044612,.7562642,.8021592,-.3957308,-.5164199,-.2743839,.2000307,-.3883038,.6719555,-.1866097,-.1318604,-.158884,-.1657259,.1193292,.0411243,-.1923411
"Colombia","Colombia2013",,.4865,.1663022,.1004743,.1300694,1.193139,4.474273,2013,"[3]technicians and associate professionals",3.169277,8.650261,1,"[2]mining manufacturing utilities",.0936112,,,.1,.0645018,.2933894,,,.2993189,.2778603,.1703726,.5303085,.042439,12.37882,2013,.3291311,.6897243,.8092569,.8070074,-.4147004,-.4789418,-.3515335,.2692397,-.3420287,.5716606,-.1564869,-.1745395,-.2707855,-.009742,.2609326,.0488088,-.0388717,.2930876,.7044612,.7562642,.8021592,-.3957308,-.5164199,-.2743839,.2000307,-.3883038,.6719555,-.1866097,-.1318604,-.158884,-.1657259,.1193292,.0411243,-.1923411
"Denmark","Denmark2013",,.2485,.0753203,.0610348,.0645925,1.768976,3.760274,2013,"[3]technicians and associate professionals",1.177592,1.957008,0,"[2]mining manufacturing utilities",.2091021,.02,.09,.01,.1205412,.1328413,,.0344403,.4774898,.1291513,.1909959,.3315143,.1173261,4.804729,2013,.3291311,.6897243,.8092569,.8070074,-.4147004,-.4789418,-.3515335,.2692397,-.3420287,.5716606,-.1564869,-.1745395,-.2707855,-.009742,.2609326,.0488088,-.0388717,.2930876,.7044612,.7562642,.8021592,-.3957308,-.5164199,-.2743839,.2000307,-.3883038,.6719555,-.1866097,-.1318604,-.158884,-.1657259,.1193292,.0411243,-.1923411
"Estonia","Estonia2013",,.3355,.0875203,.0597724,.0713389,1.591719,4.317342,2013,"[3]technicians and associate professionals",1.474844,3.072128,0,"[2]mining manufacturing utilities",.1273678,,,.03,.0596485,.2166056,.02,.0206728,.5752385,.1610648,.1559409,.2688206,.0631328,6.743155,2013,.3291311,.6897243,.8092569,.8070074,-.4147004,-.4789418,-.3515335,.2692397,-.3420287,.5716606,-.1564869,-.1745395,-.2707855,-.009742,.2609326,.0488088,-.0388717,.2930876,.7044612,.7562642,.8021592,-.3957308,-.5164199,-.2743839,.2000307,-.3883038,.6719555,-.1866097,-.1318604,-.158884,-.1657259,.1193292,.0411243,-.1923411
"Finland","Finland2013",,.26,.0816552,.0633142,.0669258,2.051437,4.37147,2013,"[3]technicians and associate professionals",1.315774,2.216966,0,"[2]mining manufacturing utilities",.0958064,,.11,.08,.1117171,.1276569,.05,.0528203,.5227901,.1978027,.1956851,.2815248,.0988656,5.996775,2013,.3291311,.6897243,.8092569,.8070074,-.4147004,-.4789418,-.3515335,.2692397,-.3420287,.5716606,-.1564869,-.1745395,-.2707855,-.009742,.2609326,.0488088,-.0388717,.2930876,.7044612,.7562642,.8021592,-.3957308,-.5164199,-.2743839,.2000307,-.3883038,.6719555,-.1866097,-.1318604,-.158884,-.1657259,.1193292,.0411243,-.1923411
"France","France2010",.325,.289,.0965106,.0662366,.0824362,1.740188,3.680606,2010,"[3]technicians and associate professionals",1.595137,3.32998,1,"[2]mining manufacturing utilities",.2083728,,,.09,.0869164,.1859089,,.0800283,.4341951,.1863666,.1250887,.4407162,.0683303,6.233795,2010,.3291311,.6897243,.8092569,.8070074,-.4147004,-.4789418,-.3515335,.2692397,-.3420287,.5716606,-.1564869,-.1745395,-.2707855,-.009742,.2609326,.0488088,-.0388717,.2930876,.7044612,.7562642,.8021592,-.3957308,-.5164199,-.2743839,.2000307,-.3883038,.6719555,-.1866097,-.1318604,-.158884,-.1657259,.1193292,.0411243,-.1923411
"Georgia","Georgia2013",,.4155,.1136703,.0867627,.102494,6.771943,15.15108,2013,"[3]technicians and associate professionals",3.625899,8.72518,0,"[2]mining manufacturing utilities",.0875348,,,,.172583,.2585915,,.0365055,.5170228,.0766332,.1984236,.2845536,.1205218,15.55396,2013,.3291311,.6897243,.8092569,.8070074,-.4147004,-.4789418,-.3515335,.2692397,-.3420287,.5716606,-.1564869,-.1745395,-.2707855,-.009742,.2609326,.0488088,-.0388717,.2930876,.7044612,.7562642,.8021592,-.3957308,-.5164199,-.2743839,.2000307,-.3883038,.6719555,-.1866097,-.1318604,-.158884,-.1657259,.1193292,.0411243,-.1923411
"Germany","Germany2013",.25575,.28775,.0947689,.0685457,.0738094,1.82364,4.157598,2013,"[3]technicians and associate professionals",1.621013,3.302064,1,"[2]mining manufacturing utilities",.2256626,.09,.06,.01,.1245035,.1797379,.07,,.3548149,.2379426,.2627508,.3824343,.1192425,6.589268,2013,.3291311,.6897243,.8092569,.8070074,-.4147004,-.4789418,-.3515335,.2692397,-.3420287,.5716606,-.1564869,-.1745395,-.2707855,-.009742,.2609326,.0488088,-.0388717,.2930876,.7044612,.7562642,.8021592,-.3957308,-.5164199,-.2743839,.2000307,-.3883038,.6719555,-.1866097,-.1318604,-.158884,-.1657259,.1193292,.0411243,-.1923411
"Greece","Greece2013",,.328,.0901387,.0717575,.0901554,1.882733,6.955045,2013,"[3]technicians and associate professionals",1.391147,2.885499,1,"[2]mining manufacturing utilities",.0796946,,,.08,.1319557,.1686078,.05,.0645627,.198131,.1025052,.4002466,.4016224,.1371224,6.972259,2013,.3291311,.6897243,.8092569,.8070074,-.4147004,-.4789418,-.3515335,.2692397,-.3420287,.5716606,-.1564869,-.1745395,-.2707855,-.009742,.2609326,.0488088,-.0388717,.2930876,.7044612,.7562642,.8021592,-.3957308,-.5164199,-.2743839,.2000307,-.3883038,.6719555,-.1866097,-.1318604,-.158884,-.1657259,.1193292,.0411243,-.1923411
"Hungary","Hungary2012",,.289,.0492931,.0347664,.0461654,1.560764,2.939394,2012,"[3]technicians and associate professionals",1.473485,2.681818,1,"[2]mining manufacturing utilities",,,,,.152805,.1386725,,,.1620248,.3059678,.4857967,.3521785,.2045064,4.318182,2012,.3291311,.6897243,.8092569,.8070074,-.4147004,-.4789418,-.3515335,.2692397,-.3420287,.5716606,-.1564869,-.1745395,-.2707855,-.009742,.2609326,.0488088,-.0388717,.2930876,.7044612,.7562642,.8021592,-.3957308,-.5164199,-.2743839,.2000307,-.3883038,.6719555,-.1866097,-.1318604,-.158884,-.1657259,.1193292,.0411243,-.1923411
"Iceland","Iceland2010",,.245,.0702519,.0516832,.0558846,1.460842,2.898552,2010,"[3]technicians and associate professionals",1.169329,2.100676,0,"[2]mining manufacturing utilities",.1159654,,,.02,.0855824,.1784437,,,.4207118,.2407954,.323623,.2556652,.027158,5.114789,2010,.3291311,.6897243,.8092569,.8070074,-.4147004,-.4789418,-.3515335,.2692397,-.3420287,.5716606,-.1564869,-.1745395,-.2707855,-.009742,.2609326,.0488088,-.0388717,.2930876,.7044612,.7562642,.8021592,-.3957308,-.5164199,-.2743839,.2000307,-.3883038,.6719555,-.1866097,-.1318604,-.158884,-.1657259,.1193292,.0411243,-.1923411
"India","India2011",,.479,.2435261,.1226991,.1776102,0,12.99679,2011,"[3]technicians and associate professionals",4.274809,16.67175,1,"[2]mining manufacturing utilities",.0228008,,.04,.03,.0901044,.4718618,,.0019637,.209832,.2055997,.4722873,.3178807,.142366,24.42748,2011,.3291311,.6897243,.8092569,.8070074,-.4147004,-.4789418,-.3515335,.2692397,-.3420287,.5716606,-.1564869,-.1745395,-.2707855,-.009742,.2609326,.0488088,-.0388717,.2930876,.7044612,.7562642,.8021592,-.3957308,-.5164199,-.2743839,.2000307,-.3883038,.6719555,-.1866097,-.1318604,-.158884,-.1657259,.1193292,.0411243,-.1923411
"Ireland","Ireland2010",,.294,.0955036,.0631328,.0786636,1.636173,3.584824,2010,"[3]technicians and associate professionals",1.643642,2.951572,0,"[2]mining manufacturing utilities",.2537338,,,.1,.228314,.2343047,.09,,.5390109,.1047661,.0579269,.4030622,.0497921,7.283799,2010,.3291311,.6897243,.8092569,.8070074,-.4147004,-.4789418,-.3515335,.2692397,-.3420287,.5716606,-.1564869,-.1745395,-.2707855,-.009742,.2609326,.0488088,-.0388717,.2930876,.7044612,.7562642,.8021592,-.3957308,-.5164199,-.2743839,.2000307,-.3883038,.6719555,-.1866097,-.1318604,-.158884,-.1657259,.1193292,.0411243,-.1923411
"Israel","Israel2012",.303,.374,.1308528,.0719251,.0900399,1.929648,4.810227,2012,"[3]technicians and associate professionals",1.838605,4.451818,1,"[2]mining manufacturing utilities",.2481836,,.17,.09,.1437618,.255517,.08,,.3463015,.1648531,.1908371,.4628614,.0767817,8.399497,2012,.3291311,.6897243,.8092569,.8070074,-.4147004,-.4789418,-.3515335,.2692397,-.3420287,.5716606,-.1564869,-.1745395,-.2707855,-.009742,.2609326,.0488088,-.0388717,.2930876,.7044612,.7562642,.8021592,-.3957308,-.5164199,-.2743839,.2000307,-.3883038,.6719555,-.1866097,-.1318604,-.158884,-.1657259,.1193292,.0411243,-.1923411
"Italy","",,.3195,.0705462,.0531552,.0692469,,,,"",,,,"",,,,,,,,,,,,,,,2014,.3291311,.6897243,.8092569,.8070074,-.4147004,-.4789418,-.3515335,.2692397,-.3420287,.5716606,-.1564869,-.1745395,-.2707855,-.009742,.2609326,.0488088,-.0388717,.2930876,.7044612,.7562642,.8021592,-.3957308,-.5164199,-.2743839,.2000307,-.3883038,.6719555,-.1866097,-.1318604,-.158884,-.1657259,.1193292,.0411243,-.1923411
"Japan","",,,.0789394,.0628662,.0753775,,,,"",,,,"",,,,,,,,,,,,,,,2008,.3291311,.6897243,.8092569,.8070074,-.4147004,-.4789418,-.3515335,.2692397,-.3420287,.5716606,-.1564869,-.1745395,-.2707855,-.009742,.2609326,.0488088,-.0388717,.2930876,.7044612,.7562642,.8021592,-.3957308,-.5164199,-.2743839,.2000307,-.3883038,.6719555,-.1866097,-.1318604,-.158884,-.1657259,.1193292,.0411243,-.1923411
"Luxembourg","Luxembourg2013",.236,.277,.0693549,.0550441,.0601426,1.829526,3.687198,2013,"[3]technicians and associate professionals",1.75353,2.992494,1,"[2]mining manufacturing utilities",.395539,,.05,.05,.2538886,.1341416,.18000001,.377534,.4360585,.0352079,.0673233,.4966182,.0399616,5.010086,2013,.3291311,.6897243,.8092569,.8070074,-.4147004,-.4789418,-.3515335,.2692397,-.3420287,.5716606,-.1564869,-.1745395,-.2707855,-.009742,.2609326,.0488088,-.0388717,.2930876,.7044612,.7562642,.8021592,-.3957308,-.5164199,-.2743839,.2000307,-.3883038,.6719555,-.1866097,-.1318604,-.158884,-.1657259,.1193292,.0411243,-.1923411
