country,name3,sub_regionname,imm_share2015,diversity,p_child_w_sp14,pop20_64_2011,change_imm_share90_15,oecd_gdp_pc_ppp2017,gr_gdp_pc_ppp1980_2017,slow_growth,slow_growth_high_ineq,recession08_17,patents_pop1000,oecd_tertiary,xhealth,Elite_regs,manager_inc_ratio50,manager_inc_ratio90,prof_inc_ratio50,prof_inc_ratio90,sh_top1_bus_services,sh_top1_dentist,sh_top1_doctor,sh_top1_engin,sh_top1_finance,sh_top1_health_edu_pub,sh_top1_lawyer,sh_top1_legal,sh_top1_manager_occ,sh_top1_mfg_mining,sh_top1_not_elite_occ,sh_top1_prof_occ,sh_top1_technicians,xcomp_share_gdp,comp_share_gdp2016,xunion_2010s_1990,union_density2010s,minwage_rel_median2016,protect,strict_regular_contracts_v3,training_exp_sh_gdp2015,corporatetaxrate,incometaxrate,taxburdenofgdp,top_marginal_rate,govtexpenditureofgdp,progressivity_top_rate,tariffrate,tradefreedom,bal_share_gdp2016,xbal_share_gdp,govCC,govGE,govPV,govRL,govRQ,govVA,freedom_score,freedomfromcorruption,fiscalfreedom,businessfreedom,laborfreedom,monetaryfreedom,investmentfreedom,financialfreedom,gap90_50skill,skill,NOT_EQUAL,pik_change,avg_top1_2010_2016,avg_top1_1979_1981,un_gini,gini_change,gini_lis_2010_2016,Anxiety,conf,approve,xconf_2017_2006,start_top99,end_top99,start_top90,end_top90,start_bot50,end_bot50
"Australia","AUS","Australia and New Zealand",28.21841,.197,,4.392811,5.0842733,45378.21,.016628,1,0,.0098829,.087309,43.7439,1.987,1.3125,,,,,.281062,,.08,,.0958436,.1869526,,,.4821892,.1615775,.1151713,.4026395,.0271658,-.0270551,.4731656,-18.83008,16.92868,.53816,1.855952,1.566667,.01,30,45,27.5,49,35.6,2.154613,1.8,86.4,.0064774,.0078041,1.928373,1.62172,.9724358,1.803,1.818959,1.435381,80.3,80,63.2,89.4,77.2,85.2,80,90,1.1013,.3647515,.1870496,.04178,.08708,.0453,37.43091,4.900002,.33,-.2762074,.4768521,.44238,-.08,.049,.091,.2438,.3191,,
"Austria","AUT","Western Europe",17.465726,.031,20.7,3.493754,7.1727049,44099.36,.01572,1,0,.0024998,.139464,31.38396,1.146,3.25,1.68711,3.786731,1.327252,2.68711,.096864,,,.08,.0184955,.1683038,.04,.0243141,.2501114,.3287007,.3420196,.407869,.0804729,-.0208733,.4814357,-14.02252,27.8525,,2.494473,2.119048,.46,25,50,42.5,47.96429,50.9,7.872148,1,88,.0335666,.034502,1.449911,1.560472,1.258134,1.862183,1.463626,1.437508,71.7,72,50.7,79.4,72.5,81.7,90,70,1.121389,.2642139,-.5643316,,,,30.0122,4.5,.279,-.1674677,.4384853,.7315636,-.06,,,,,,
"Belgium","BEL","Western Europe",12.283533,.039,23.6,3.477174,3.3487219,41713.86,.0141507,1,0,.0028739,.0969879,37.50396,2.445,2.1875,,,,,,,,,,,,,.3962352,,.19149,.4122748,.0719022,-.003398,.4948097,-.3637123,54.53324,.4950157,3.169855,2.142857,.16,33,50,44.6,46.01565,54.5,1.048901,1,88,.0133085,-.0004219,1.57997,1.541211,.8124363,1.431099,1.242749,1.373358,68.4,76,44.2,85.4,60.5,84,85,70,1.085577,.3679599,-.6297948,,,,30.07609,-2.099998,,-.1479566,.4832307,.6674446,-.1,,,,,,
"Canada","CAN","Northern America",21.801664,.322,,4.348339,6.1366753,43233.43,.012921,1,0,.0061182,.0813306,56.26507,2.059,3.75,1.467238,3.061849,,,,,,,,.2090723,,,.48,.1252811,.17,.35,.0846494,-.0210216,.512897,-5.408321,27.95926,.4575707,1.401299,.9206349,.07,15,29,30.6,53.5296,40.7,4.260066,1.5,87,-.0241635,-.0259355,1.899234,1.77066,1.114972,1.797529,1.731013,1.441414,78,81,80,81.8,72.6,76.9,80,80,1.005547,.5775648,.3871917,.0499425,.1362325,.08629,34.20404,-1.75,.319,-.3498126,.5813055,.5537749,.21,.08911,.1362325,.37482,.413838,,
"Switzerland","CHE","Western Europe",29.386686,.03,12.3,3.65326,8.5251529,54668.24,.0093681,1,0,.0018037,.2707461,41.23547,3.042999,1.125,1.523247,3.328274,1.206243,2.381489,.2237687,,,.05,.2946598,.1414033,.05,,.4816311,.0698502,.1753996,.3429693,.1380065,.0367913,.5943592,-5.716839,16.58572,,2.149745,1.495238,.18,24,40,27.1,36.06747,33.5,3.49735,0,90,.1122241,.1070492,2.144439,1.942804,1.347934,1.86888,1.705448,1.625403,81,86,70.9,82.2,72.1,87.8,85,80,1.082765,.4075084,-.2690572,.0223139,.1062789,.083965,30.30417,-2.5,.2945,-.4164082,.7991641,.7977571,.19,.08494,.1130278,.29925,.3460255,,
"Chile","CHL","Latin America and the Caribbean",2.6155132,.511,,6.489762,1.7974678,20848.36,.0374556,0,0,.0173369,.0037027,22.4752,2.156,3,,,,,,,,,,,,,,,,,,,,-1.117622,15.44494,.6889105,1.68716,2.526984,.08,22.5,40,20.2,35,23.7,7.726053,1.8,86.4,.0085441,-.0290406,1.473032,1.199939,.4066425,1.365126,1.472838,1.054544,77.7,73,74.8,72.1,64.3,82.9,85,70,1.066796,-.2380247,3.187545,,,,53.30476,-5.350002,,-.2060723,.3043295,.4035359,-.31,.1520872,.2016121,,.536733,,
"Czech Republic","CZE","Eastern Europe",3.8422257,0,14.8,4.035116,2.7728999,31858.44,.0183062,1,0,.0120834,.0155406,22.97154,1.443,3.125,,,,,,,,.04,,,.03,.0235816,,,,,,,.4040467,-29.94334,13.61588,.3970482,2.446259,2.874603,.02,19,15,34.1,20.1,41.9,.347974,1,88,.0748345,.0513531,.2863791,.9644304,1.021726,1.062077,1.092819,.9936561,73.2,51,82.5,66.6,77.7,84.1,80,80,1.128522,.2495989,-.6572739,.0680376,.0940136,.025976,29.9475,5.200001,.257,-.1996881,.3942531,.4159221,.06,.0249161,.094037,.1801164,.2874853,.3557205,.2837488
"Germany","DEU","Western Europe",14.879051,.058,15.6,2.930592,7.3609237,43873.74,.0158869,1,0,.0090098,.2009496,28.29172,1.427999,2.25,1.82364,4.157598,1.621013,3.302064,.2256626,.09,.06,.01,.1245035,.1797379,.07,,.3548149,.2379426,.2627508,.3824343,.1192425,-.0204347,.5083253,-11.87468,17.97406,.4669923,2.686352,2.528571,.2,15.8,47.5,36.7,47.475,44.3,5.403225,1,88,.0797122,.0818841,1.788258,1.627448,.83477,1.703304,1.601307,1.415353,74.4,79,61.5,90,50.6,83.3,90,70,1.091281,.4236729,-.0970411,.0233675,.1305504,.107183,30.21096,3.700001,.28775,-.3028826,.6027799,.7259293,.3,.1031079,.1323439,.328244,.4034225,.2393911,.1674115
"Denmark","DNK","Northern Europe",10.098991,.016,22.3,3.439857,5.5236254,45687.86,.0143201,1,0,.0018941,.2034786,38.16914,2.261,.875,1.768976,3.760274,1.177592,1.957008,.2091021,.02,.09,.01,.1205412,.1328413,,.0344403,.4774898,.1291513,.1909959,.3315143,.1173261,-.002439,.5238509,-6.381874,69.05784,0,2.271343,2.098413,.6,23.5,56,48.6,55.794,57.1,1.260703,1,88,.0619406,.0063792,2.355156,1.945958,.9554802,1.961956,1.795605,1.622719,75.3,92,39.5,95.4,86,84.4,90,80,.9604729,.3860362,-1.106584,.0092578,.0641461,.0548883,27.81772,-1.6,.2485,-.4808697,.5032083,.4820317,-.1,.0680098,.0641461,.295079,.2687818,,
"Spain","ESP","Southern Europe",12.690237,.015,15.6,3.655026,10.593881,33706.1,.0172316,1,0,.0004772,.0302086,35.69349,2.167,3,1.44496,4.20659,1.716169,3.182016,.1461767,,.1,.03,.1712636,.1538011,.14,0,.2839634,.2608024,.3149766,.40106,.2282894,-.0009772,.4763894,-.0437641,16.34846,.3727207,2.711182,1.947619,.12,30,47,32.6,43.5,44.3,2.444309,1,88,.030172,.070597,.7886276,1.128058,.1219266,1.013933,.9041497,1.020787,68.5,60,58.3,76,51.7,84.7,85,70,.9682742,.2549353,.063348,.0113767,.0876567,.07628,34.07935,.1499977,.338,-.0069729,.2460534,.2903285,-.26,.07628,.08576,.32701,.31978,,
"Estonia","EST","Northern Europe",15.416309,.02,16.2,3.529504,-8.9874549,28003.11,.0438868,0,0,.0141867,.0210795,38.75685,1.518,3,1.591719,4.317342,1.474844,3.072128,.1273678,,,.03,.0596485,.2166056,.02,.0206728,.5752385,.1610648,.1559409,.2688206,.0631328,,.493469,-39.77322,6.071914,.4126105,2.431463,1.742857,,20,20,31.8,19.68,38.8,.14828,1,88,.0385987,,1.110954,1.040051,.6565744,1.232911,1.517507,1.134105,77.2,69,81.9,79,57.2,82.2,90,80,1.014889,.587744,.5476869,,,,36.50727,-2.666668,.3355,-.1194547,.3919357,.6042781,-.03,,,,,,
"Finland","FIN","Northern Europe",5.7396833,0,13.9,3.341667,4.4712104,39503.68,.0165057,1,0,-.0053773,.2810483,43.59526,2.574,.9375,2.051437,4.37147,1.315774,2.216966,.0958064,,.11,.08,.1117171,.1276569,.05,.0528203,.5227901,.1978027,.1956851,.2815248,.0988656,-.0565162,.4836332,-13.33935,65.16579,0,2.0125,2.383333,.48,20,31.8,44,49.0194,57.5,1.851725,1,88,-.0074198,.008062,2.224518,2.101343,1.281367,2.00833,1.850282,1.580436,72.6,89,66.5,90.7,53.7,81.9,85,80,.9867651,.5711253,-.8589798,.030783,.0746,.043817,29.15041,-6.275,.26,-.2251161,.5186484,.9617588,-.16,.0591173,.07457,,.32503,,
"France","FRA","Western Europe",12.088479,.125,21.7,3.415367,1.7320949,37697.24,.0123387,1,0,.002676,.0998143,34.58249,1.441,3,1.740188,3.680606,1.595137,3.32998,.2083728,,,.09,.0869164,.1859089,,.0800283,.4341951,.1863666,.1250887,.4407162,.0683303,.0155705,.5202978,-.8097839,8.535069,.6051314,3.137287,2.601587,.37,34.3,45,45,53.9375,57,14.57614,1,83,-.0194786,-.0114654,1.363857,1.408272,.4322506,1.432672,1.136027,1.200935,62.3,69,47.7,78.4,43.5,79.1,70,70,1.122135,.2988572,-.2258607,.0254792,.1086394,.0831602,31.38163,-2.5,.289,.1192944,.3270506,.3151199,.05,.1123867,.1213219,.3788975,.3580061,.1622973,.1919597
"United Kingdom","GBR","Northern Europe",13.200978,.103,23.1,3.71191,6.8093156,39198.88,.0181035,1,0,.0051839,.0968778,45.96144,3.733,1.3125,1.468315,3.790476,1.589148,3.059524,.1741676,,,,.1021631,.2602792,,.0214337,.3658077,.1467811,.2998273,.334365,.1567564,-.0205736,.4935021,-9.494461,25.37373,.4901244,,1.178571,,20,45,32.9,45,45.1,3.925891,1,88,-.0207186,-.0025791,1.704677,1.586103,.448114,1.744427,1.752168,1.301778,76.4,78,64.9,86,71.8,76.4,90,80,1.124807,.3409607,.4644365,.0701738,.1331738,.063,34.50816,6.200001,.332,-.2472679,.4326315,.4715384,-.05,.061,.1388271,.2782,.3999338,,.143418
"Greece","GRC","Southern Europe",11.342377,0,7.9,3.117566,5.2413603,24188.91,.0053569,1,0,-.0282326,.0084899,30.23161,.9200001,3,1.882733,6.955045,1.391147,2.885499,.0796946,,,.08,.1319557,.1686078,.05,.0645627,.198131,.1025052,.4002466,.4016224,.1371224,.0164469,.3351562,-8.868771,23.77246,.4787807,2.662925,2.074603,.09,26,42,33.5,55,60.1,3.928468,1,83,-.007224,.0984873,-.1739158,.3846591,-.1683447,.3968937,.4728183,.6589988,53.2,43,64.4,73.8,50.2,77.7,60,40,1.081779,-.0776951,.4573262,,,,36.34186,-.2999992,.328,.6740207,.2212664,.2897322,-.35,,,,,,
"Hungary","HUN","Eastern Europe",4.5624653,.072,20.6,3.727823,1.2162163,25755.71,.0219989,0,0,.0133531,.0213416,23.71333,.8470001,3.25,1.560764,2.939394,1.473485,2.681818,,,,,.152805,.1386725,,,.1620248,.3059678,.4857967,.3521785,.2045064,,.426637,-42.94621,9.930899,.5119501,2.288308,1.453968,.01,19,16,38.9,15,49.4,0,1,88,.1008102,,.2259139,.5967777,.7168817,.5646208,.8886715,.6763153,66,54,78.7,70.6,63.8,88.3,75,70,1.110036,.0836704,-.5465739,.07008,.0964,.02632,27.58148,4.6,.289,.1149879,.3633596,.4056347,.02,.02715,.09639,.1774,.32095,,
"Ireland","IRL","Northern Europe",15.916937,.002,18.5,5.24003,9.5191196,66372.61,.040509,0,0,.0435303,.0775079,42.80612,1.912,1.6875,1.636173,3.584824,1.643642,2.951572,.2537338,,,.1,.228314,.2343047,.09,,.5390109,.1047661,.0579269,.4030622,.0497921,-.1480106,.2937386,-17.50273,28.78273,.4544075,2.06858,1.496825,.23,12.5,41,28.3,48,40.7,1.929367,1,88,.2200669,.176289,1.560394,1.52122,.9404171,1.765343,1.662023,1.333788,77.3,74,73.6,79.6,72.1,85.5,90,70,.99305,.4326912,-.0200135,.0348333,.105,.0701667,35.12745,-4.950001,.294,-.2005275,.505335,.5278909,-.03,.0502,.115,.241,.3724,,
"Iceland","ISL","Northern Europe",11.39015,0,19.6,4.77029,7.6292108,46211.5,.017905,1,0,.0091449,.1126158,40.475,-.4029999,2.4375,1.460842,2.898552,1.169329,2.100676,.1159654,,,.02,.0855824,.1784437,,,.4207118,.2407954,.323623,.2556652,.027158,.0672814,.5316571,-.2870712,87.15709,0,2.322747,2.04127,,20,31.8,35.5,44.3904,43.9,1.171853,1.1,87.8,.0633562,.0502259,1.902119,1.513323,1.238887,1.682474,1.143091,1.433937,73.3,79,73.3,90.1,61.6,79.5,70,60,1.12267,.1498591,-1.01579,,,,28.75333,-4.4,.245,-.4806649,.4300452,.4416937,.13,,,,,,
"Israel","ISR","Western Asia",24.9469,.459,,5.359485,-11.342177,32257.49,.0166683,1,1,.0160688,.2375595,49.89535,.494,3.5,1.929648,4.810227,1.838605,4.451818,.2481836,,.17,.09,.1437618,.255517,.08,,.3463015,.1648531,.1908371,.4628614,.0767817,,.4422757,-41.77217,23.09376,.5768911,2.006675,2.352381,.06,26.5,48,30.5,50,41.3,4.32481,.9,88.2,.020886,,.8237935,1.271168,-1.102426,1.032311,1.225451,.6772068,70.7,60,60.6,70.6,64.6,84.2,85,70,1.254812,.0561399,1.181807,,,,39.42857,6.9,.374,-.1972549,.4500392,.4809062,.05,,,,,,
"Italy","ITA","Southern Europe",9.6807677,.004,12.8,3.046082,7.1754534,34097.76,.0096247,1,0,-.0075859,.0484214,17.72359,1.359,3,,,,,.0908946,,,,.11267,.3295383,,,,.0659582,,,,-.020043,.3975206,-1.357132,35.84903,,2.973257,2.545238,.17,27.5,43,42.6,42.27557,51,2.700369,1,88,.0325203,.0305247,-.0270414,.4182499,.4644178,.3489319,.7244731,.9499759,61.2,43,55.8,70.3,53,84.5,85,60,1.064885,.1910435,.0002043,.0264667,.0938,.0673333,34.2,-1.25,.3195,.2779704,.2532049,.5034201,-.01,.0724,.09375,.312,.33872,,
"Japan","JPN","Eastern Asia",1.6147751,0,,2.529779,.73491224,38202.02,.0172576,1,0,.0081119,.217789,50.49696,3.7,3.3125,,,,,.027027,,,,.0540541,.1351351,,,,.2162162,,,,.0042047,.4995389,-5.936148,17.71591,.3973459,2.05102,1.619048,.01,23.9,40.8,30.3,55.77716,42.3,8.502439,1.2,82.6,.0097172,.0019495,1.637982,1.619085,.9648777,1.43179,1.130329,1.068566,73.1,76,68.5,82.5,83.9,81.2,70,60,.9481795,.6354277,.1480116,.02101,.10439,.08338,36.29333,5.383331,,-.1379523,.4203133,.5925014,.06,.0899,.10439,.32644,.41566,,
"Korea","KOR","Eastern Asia",2.6391594,0,,5.814023,2.5390552,35981.82,.0542881,0,0,.0257942,.1385284,46.85882,3.675,3.875,,,,,,,,,,,,,,,,,,.0113124,.4477592,-2.397908,10.9287,.504108,2.217687,2.285714,.04,24.2,38,24.3,39.32944,31.8,3.83926,7.7,74.6,.0685557,.0743677,.4926496,1.161155,.212978,.9767245,1.028945,.6923281,71.7,55,73.8,91.1,50.6,82.6,70,80,1.056531,.5357128,.1002399,.0481722,.1207751,.0726028,32.96154,-4.25,,-.0517319,.3165617,.5117711,.13,,,,,,
"Luxembourg","LUX","Western Europe",43.964134,.016,15.6,4.573741,14.158247,88429.59,.0266931,0,0,-.0002472,.1030687,42.856,.434,3,1.829526,3.687198,1.75353,2.992494,.395539,,.05,.05,.2538886,.1341416,.18000001,.377534,.4360585,.0352079,.0673233,.4966182,.0399616,.0246384,.4914448,-7.368942,35.70832,.5474947,3.18074,2.279365,.05,21,43.6,39.3,41.42,43.6,2.8058,1,88,.3510444,.2237187,2.128091,1.683402,1.349525,1.829113,1.744382,1.580543,73.9,82,61.1,73.7,42.6,83.2,95,80,1.195045,.1741437,-.5884886,,,,29.96735,.0333328,.277,-.3104206,.714084,.7398176,-.08,,,,,,
"Latvia","LVA","Northern Europe",13.35324,.049,30.6,,-10.896408,24164.51,.0516232,0,0,.0178466,.0099162,33.36148,.2680001,3.4375,,,,,,,,,,,,,,,,,,,.4643391,-15.6363,13.30406,.5069401,,2.569841,.06,15,23,27.7,10.925,37.2,.073729,1,88,.008966,,.2716125,.9029478,.4544595,.7848378,1.055189,.7696317,70.4,55,84.8,78.6,59.5,84.8,85,60,.9238657,.2082887,.1965689,,,,35.10455,5.900002,,.0002287,.2988227,.6804985,-.03,,,,,,
"Mexico","MEX","Latin America and the Caribbean",.93936473,.515,,8.730443,.12675073,17139.74,.0083768,1,1,.0095742,.0016942,16.81861,.9429998,3,4.062525,12.06009,2.312373,6.000051,.0870271,,,,.0840359,.2987307,.02,.122,.4407384,.1697267,.2281734,.3310882,.0013723,-.0117973,.2667119,-6.70484,13.55594,.3652,2.798214,1.911111,0,30,35,19.7,35,28.1,25.40869,5.4,79.2,-.019784,-.0098062,-.5507634,.277253,-.763841,-.5205047,.415716,.019953,65.2,35,74.9,70.7,58.2,77.4,70,60,.9087942,-.5104653,2.96467,,,,50.78675,-.7000008,.457,-.1463959,.3217635,.35301,-.17,,,,,,
"Netherlands","NLD","Western Europe",11.695683,.079,13.3,3.815677,3.7690855,47443.38,.0157186,1,0,.0030091,.2013199,35.99917,3.444,1.125,1.595037,3.33811,1.192491,2.289103,.1696745,,,.04,.1750346,.2907806,.05,,.3340965,.0978811,.1859051,.4799984,.1243702,-.0337419,.4836097,-6.602894,18.19355,.4530726,2.532547,2.838095,.07,25,52,37.4,49.7093,46.8,1.385089,1,88,.1100818,.0600524,2.049531,1.810544,1.067543,1.880592,1.779291,1.592194,74.6,83,52.7,80,64,83.4,90,80,1.136505,.4228291,-.9216415,.0052096,.0637096,.0585,29.77229,.4499989,.2605,-.2395212,.5776659,.6236157,.24,.0612,.0633313,.2747,.3089668,,
"Norway","NOR","Northern Europe",14.235611,0,15.9,3.909934,9.6938666,60361.31,.0172012,1,0,.0003661,.134703,43.01676,2.755,1.6875,,,,,,,,,,,,,,,,,,.0129402,.4871901,-4.081821,52.80769,0,2.614881,2.233333,.1,27,47.8,40.8,38.52,44,1.616943,1.1,87.8,.0086345,-.0538598,2.243899,1.859065,1.244028,1.980208,1.615142,1.724617,70.8,86,53.2,89.6,48.5,76.2,75,60,1.050707,.3867987,-.9195567,.0310984,.0777269,.0466284,29.32597,-10.9,.2455,-.5726791,.6902869,.7302678,.04,.0540859,.0780341,.2903366,.283298,,
"New Zealand","NZL","Australia and New Zealand",22.9597,.313,,4.445216,7.7119648,34936.76,.0142876,1,0,.0135445,.0812526,36.27514,1.736001,1.375,,,,,,,,,,,,,,,,,,,,-11.65601,19.44101,.6052,.8332483,1.409524,,28,33,32.1,33,42.4,1.19,1.4,87.2,.003126,-.006025,2.319288,1.852174,1.426206,1.94107,1.908197,1.606096,81.6,91,71,91.4,85.9,88.1,80,80,1.150064,.4015707,-.2369315,.0243148,.080744,.0564292,35.57778,1.35,,-.3713387,.6262227,.6486765,-.02,.065572,.0809,.2998261,.3154,,
"Poland","POL","Eastern Europe",1.6041808,.01,9.9,4.772295,-1.3484658,26084.63,.036278,0,0,.0314533,.0056515,28.71119,1.145,3.25,1.761364,3.838636,1.477273,3.125,.1504108,,,.05,.1149357,.2010697,.09,.0524347,.3098902,.182838,.1966886,.4934212,.0796835,,.3826264,-12.5347,13.25461,.5421541,2.448937,2.196826,.01,19,32,32.7,22.08223,42.2,2.03076,1,88,.0404215,-.0252955,.560456,.7278964,.9534526,.7829022,1.000467,1.038419,69.3,61,75.5,68.7,58,85.2,75,70,1.03177,.3812594,.2667447,,.124267,,34.76122,3.5,.313,-.1374942,.3344176,.4160431,.43,.0364951,.1334164,.2183398,.3952629,.3133337,.2320617
"Portugal","PRT","Southern Europe",8.0895936,.034,20,3.22207,3.6834465,28007.24,.0172447,1,0,.0012749,.0094284,23.84739,.5719995,3.625,,,,,,,,,,,,,,,,,,-.0244533,.4416789,-9.160595,17.85717,.5834916,2.475808,3.009524,.27,23,48,33.4,50.0269,50.1,15.61161,1,88,.0112027,.0783853,.948636,1.097067,.7763635,1.078339,.7922164,1.077201,65.1,63,60.5,85.3,43.5,85.7,70,60,1.066381,.3111848,.2163181,.055,.0977,.0427,38.24762,-1.349998,,.1807983,.3027596,.4174356,.05,.0789,.09767,.3171,.38251,,
"Slovakia","SVK","Eastern Europe",3.2654179,.008,11.2,,2.4829761,29956.73,.0388237,0,0,.0198122,.0078075,21.97952,1.57,3.25,,,,,,,,.04,,,,,,,,,,,.3932438,-33.30109,13.42674,.4771711,2.463818,1.807937,.01,22,25,29.6,21.65,41,3.539562,1,88,.0350211,.1178045,.1277365,.8342693,1.019804,.489817,.9300987,.9554686,66.6,50,80.1,68.4,55,79.5,75,70,,,-.7763045,,,,29.17647,4.300001,.265,-.0350245,.3538527,.3940901,.18,,,,,,
"Slovenia","SVN","Southern Europe",11.412964,0,13.7,3.863745,2.5380463,30417.87,.0244653,0,0,.0009217,.0518347,30.73579,.777,2.6875,1.334243,3.673778,1.464484,2.293476,,,,.02,,,,,.5428968,,.185946,.2711572,.1661855,,.4925999,-30.48142,21.84897,.5871581,,2.386508,.04,17,50,36.8,38.95,59.9,5.039418,1,88,.0915597,,.7686295,1.002743,.9183244,.9873823,.6421837,.9838015,60.6,58,58.6,82,55.4,84.3,70,50,1.069043,.4368123,-1.01696,,,,26.68367,-.7000008,.2615,.010981,.2052924,.460562,-.24,,.0695209,,.3054835,,.2455794
"Sweden","SWE","Northern Europe",16.767559,.014,17.2,3.127931,7.5520296,45537.05,.0164695,1,0,.0085557,.302332,41.13918,3.596,.5625,,,,,.2031011,,,,,.174642,.03,.102539,,.2131697,,,,-.0257148,.4688388,-15.60246,67.4893,0,2.176871,2.523809,.15,22,57,42.8,60.12,53.2,1.49848,1,88,.0483883,.0420365,2.246171,1.885165,1.106299,1.979352,1.865841,1.657887,72,87,44.4,89.7,53.5,87.1,85,80,1.122273,.2998357,-.9545445,.0466993,.088466,.0417667,25.54815,-5,,-.475002,.5616041,.5522452,.12,.0541,.0872675,.2651,.3062485,,
"Turkey","TUR","Western Asia",3.7690011,.199,,8.066659,1.6138117,24934.22,.0309808,0,0,.0422516,.0052164,19.36253,-.2920003,3.75,,,,,,,,,,,,,,,,,,,.3220996,-22.05059,7.356595,.7580264,3.030272,2.209524,,20,35,29.3,30.5,38.5,3.210597,2.8,84.4,-.0288548,-.0170512,.0216342,.3556458,-1.138698,.0364527,.396603,-.2709861,62.1,45,75.2,65.4,48.6,71.5,75,60,1.055193,-.418269,2.042621,,.2056427,,42.35455,-2.350002,,.070473,.5970941,.6292695,-.0100001,,.2343524,,.5393062,,.1511026
"United States","USA","Northern America",14.490654,.428,27.5,4.532988,5.2949931,53131.18,.016812,1,1,.0083687,.1538038,45.66636,4.706,1,1.511474,3.923684,1.5,3.537263,.2847931,.02,.14,,.1222096,.2644451,.11,.1152462,.3525084,.1409125,.2214614,.4260302,.1339474,-.022888,.5365111,-3.650698,10.84023,.3485577,1.21744,.49,.03,35,39.6,25.4,46.25,38.9,7.993036,1.5,87,-.0279868,-.0149666,1.329307,1.493766,.6272821,1.597133,1.31492,1.095389,75.4,74,65.6,84.7,91.4,77,70,70,1.142697,.2157406,1.665282,.0903653,.199942,.1095767,39.86542,7.600002,.375,-.2479582,.3472572,.4584948,-.17,.1254513,.225836,.4037778,.51195,.1370186,.0931952
