broad_occ,broad_occ_sector,change,earn_res1970,earn_res1980,earn_res1990,earn_res2000,earn_res2015,num_top11970,num_top11980,num_top11990,num_top12000,num_top12015,sector,sh_change,sh_top11970,sh_top11980,sh_top11990,sh_top12000,sh_top12015,top11970,top11980,top11990,top12000,top12015,us_change,us_num_top11970,us_num_top11980,us_num_top11990,us_num_top12000,us_num_top12015,xsh_top1
"Finance and sales","Finance and salesCon",-358.9999,.2556207,.112571,.1410347,.2352642,.188779,1100,1380,1507,2376,1021,"Con",-.0012799,.0015056,.0014861,.001355,.0018456,.0008444,.0298103,.0270801,.0175825,.0215986,.0098988,280495,730600,928580,1112210,1287406,1209075,-.0006417
"Service","ServiceTran_U_Com",635,.0755377,.0843484,.0624389,-.0173519,-.0466225,200,360,359,513,995,"Tran_U_Com",.0022639,.0002737,.0003877,.0003228,.0003985,.0008229,.0012315,.0015393,.0012361,.0016226,.0028304,280495,730600,928580,1112210,1287406,1209075,.0004353
"Service","ServiceO_Serv",392,-.5236522,-.6246302,-.7489697,-.5155569,-.4385853,100,440,381,2325,832,"O_Serv",.0013975,.0001369,.0004738,.0003426,.001806,.0006881,.0005504,.0010389,.0004451,.0013937,.0003583,280495,730600,928580,1112210,1287406,1209075,.0002143
"Transportation","TransportationAg_Min_Mfg",-2101,-.0153639,.0381827,-.0032232,-.0165403,-.0571786,1500,2920,2087,2514,819,"Ag_Min_Mfg",-.0074903,.0020531,.0031446,.0018764,.0019528,.0006774,.0011197,.0014562,.0012054,.0017361,.0005749,280495,730600,928580,1112210,1287406,1209075,-.0024672
"Administrative","AdministrativePub",-696,.2410332,.1180154,.1049754,.0696307,.1687483,1500,1440,880,1137,744,"Pub",-.0024813,.0020531,.0015508,.0007912,.0008832,.0006153,.001449,.0009381,.00061,.0007702,.0005738,280495,730600,928580,1112210,1287406,1209075,-.0009354
"Transportation","TransportationCon",59,-.0653307,-.0293434,-.0031167,.0063616,.0126161,400,640,421,595,699,"Con",.0002103,.0005475,.0006892,.0003785,.0004622,.0005781,.0023296,.0032353,.0020824,.0028125,.0029464,280495,730600,928580,1112210,1287406,1209075,-.0001111
"Craft and construction","Craft and constructionHealth",61,.0197385,.0016567,.0644561,.0536139,.1219046,700,580,562,405,641,"Health",.0002175,.0009581,.0006246,.0005053,.0003146,.0005302,.008149,.0042084,.0035243,.0015117,.0016808,280495,730600,928580,1112210,1287406,1209075,-.0000945
"Service","ServiceEnter",298,-.4153757,-.4425735,-.40359,-.2746761,-.338159,400,320,321,951,618,"Enter",.0010624,.0005475,.0003446,.0002886,.0007387,.0005111,.0030511,.0013941,.0009607,.0017555,.0008042,280495,730600,928580,1112210,1287406,1209075,.0001665
"Service","ServiceEd",-379,-.5717392,-.6415954,-.530109,-.5298924,-.4930976,300,940,313,1456,561,"Ed",-.0013512,.0004106,.0010123,.0002814,.001131,.000464,.0003544,.0007808,.0003162,.0014223,.0004698,280495,730600,928580,1112210,1287406,1209075,-.0005483
"Finance and sales","Finance and salesEd",464,-.6999953,-.6879272,-.6153013,-.4600095,-.3599411,0,80,20,286,544,"Ed",.0016542,0,.0000862,.000018,.0002222,.0004499,0,.0016254,.0002686,.0038176,.0070173,280495,730600,928580,1112210,1287406,1209075,.0003638
"Military","MilitaryPub",,.0735101,,-.0308754,.0648243,.3862192,0,,919.0001,1228,530,"Pub",,0,,.0008263,.0009539,.0004384,0,,.0005441,.0010687,.0005204,,730600,,1112210,1287406,1209075,
"Administrative","AdministrativeEd",-199,-.2634047,-.3543527,-.3764161,-.3024331,-.2929053,400,640,376,723,441,"Ed",-.0007095,.0005475,.0006892,.0003381,.0005616,.0003647,.0004646,.0005075,.0002614,.0005543,.0003621,280495,730600,928580,1112210,1287406,1209075,-.0003245
"Machine operators and laborers","Machine operators and laborersBus_Rep",-828,-.1816335,-.1871158,-.2131153,-.2178276,-.2521916,1000,1260,958,839,432,"Bus_Rep",-.0029519,.0013687,.0013569,.0008613,.0006517,.0003573,.0023447,.0032025,.0018079,.0014768,.0007318,280495,730600,928580,1112210,1287406,1209075,-.0009996
"Administrative","AdministrativeLegal",276,.3074726,.1817763,.2793646,.1804481,.0890722,100,100,315,506,376,"Legal",.000984,.0001369,.0001077,.0002832,.000393,.000311,.0006028,.0003274,.0006791,.0011562,.0012396,280495,730600,928580,1112210,1287406,1209075,.0002033
"Craft and construction","Craft and constructionEd",146,-.1181369,-.1766362,-.0554286,-.1114314,.0060589,0,200,105,260,346,"Ed",.0005205,0,.0002154,.0000944,.000202,.0002862,0,.0015758,.0007801,.00143,.0019332,280495,730600,928580,1112210,1287406,1209075,.0000708
"Service","ServiceFin",-105,-.2973653,-.3519746,-.3037197,-.2467601,-.2523506,0,420,314,576,315,"Fin",-.0003743,0,.0004523,.0002823,.0004474,.0002605,0,.0019932,.0012032,.0024591,.0010654,280495,730600,928580,1112210,1287406,1209075,-.0001918
"Finance and sales","Finance and salesLegal",272,.8639675,.1025751,.213212,.180009,.1234512,0,20,62,140,292,"Legal",.0009697,0,.0000215,.0000557,.0001087,.0002415,0,.015873,.0330138,.0249377,.0471424,280495,730600,928580,1112210,1287406,1209075,.00022
"Finance and sales","Finance and salesHealth",235,.0722458,.0053277,.1054277,.1538889,.2411293,0,40,185,621,275,"Health",.0008378,0,.0000431,.0001663,.0004824,.0002274,0,.0015835,.0041294,.0137663,.0045074,280495,730600,928580,1112210,1287406,1209075,.0001844
"Administrative","AdministrativeEnter",128,.1128833,-.1317188,-.1615775,-.1469385,-.2363574,200,120,217,258,248,"Enter",.0004563,.0002737,.0001292,.0001951,.0002004,.0002051,.0040816,.0014231,.0015006,.0013681,.0012017,280495,730600,928580,1112210,1287406,1209075,.0000759
"Service","ServiceAg_Min_Mfg",-594,-.0977828,-.0681416,-.0871712,-.0964253,-.053711,400,840,579,732,246,"Ag_Min_Mfg",-.0021177,.0005475,.0009046,.0005206,.0005686,.0002035,.0010436,.001703,.0012886,.0019167,.0006713,280495,730600,928580,1112210,1287406,1209075,-.0007011
"Transportation","TransportationBus_Rep",-385,-.3163528,-.3446212,-.3605521,-.3713422,-.4170991,400,620,562,645,235,"Bus_Rep",-.0013726,.0005475,.0006677,.0005053,.000501,.0001944,.0021668,.0028218,.0015719,.0014815,.0003757,280495,730600,928580,1112210,1287406,1209075,-.0004733
"Machine operators and laborers","Machine operators and laborersO_Serv",113,-.2454453,-.2950802,-.1709059,-.1582059,-.1450427,0,100,147,187,213,"O_Serv",.0004029,0,.0001077,.0001322,.0001453,.0001762,0,.0016909,.0016384,.0015655,.0013579,280495,730600,928580,1112210,1287406,1209075,.0000685
"Machine operators and laborers","Machine operators and laborersTrade",-342,-.1269892,-.1266861,-.0915754,-.1245932,-.0891857,200,520,558,773,178,"Trade",-.0012193,.0002737,.00056,.0005017,.0006004,.0001472,.0005305,.0014161,.0010966,.0016985,.0004855,280495,730600,928580,1112210,1287406,1209075,-.0004128
"Finance and sales","Finance and salesEnter",74.00002,-.4398968,-.3539425,-.3556047,-.2613683,-.3012147,100,100,566,615,174,"Enter",.0002638,.0001369,.0001077,.0005089,.0004777,.0001439,.002809,.0017235,.0033096,.0030271,.0012294,280495,730600,928580,1112210,1287406,1209075,.0000362
"Craft and construction","Craft and constructionO_Serv",22,.0267741,-.0196576,.076192,.0488518,.1092708,200,140,237,282,162,"O_Serv",.0000784,.0002737,.0001508,.0002131,.000219,.000134,.0038314,.0019971,.0028503,.0024206,.0011152,280495,730600,928580,1112210,1287406,1209075,-.0000168
"Transportation","TransportationHealth",55,-.2261038,-.2783518,-.2410709,-.2389619,-.2358578,100,80,14,88,135,"Health",.0001961,.0001369,.0000862,.0000126,.0000684,.0001117,.0043668,.0027682,.0003148,.0019571,.0019952,280495,730600,928580,1112210,1287406,1209075,.0000255
"Transportation","TransportationEd",12,-.5513481,-.5614691,-.4281694,-.3666714,-.4136205,0,120,162,142,132,"Ed",.0000428,0,.0001292,.0001457,.0001103,.0001092,0,.0006093,.0007184,.0006268,.0005592,280495,730600,928580,1112210,1287406,1209075,-.0000201
"Craft and construction","Craft and constructionEnter",-8,.0517239,-.1041409,-.0383215,-.069233,-.0554278,400,140,292,122,132,"Enter",-.0000285,.0005475,.0001508,.0002625,.0000948,.0001092,.0192308,.0035371,.0046068,.001779,.0020624,280495,730600,928580,1112210,1287406,1209075,-.0000416
"Machine operators and laborers","Machine operators and laborersPub",-55,.0410099,-.034115,.045414,.0124845,.195829,100,180,76,138,125,"Pub",-.0001961,.0001369,.0001938,.0000683,.0001072,.0001034,.0013514,.002045,.0009184,.0018552,.002057,280495,730600,928580,1112210,1287406,1209075,-.0000905
"Transportation","TransportationFin",-31,-.2860621,-.3144398,-.2254251,-.2311025,-.2844462,0,100,52,24,69,"Fin",-.0001105,0,.0001077,.0000468,.0000186,.0000571,0,.0037965,.001579,.0012815,.0026201,280495,730600,928580,1112210,1287406,1209075,-.0000506
"Transportation","TransportationEnter",48,-.3557093,-.3079608,-.2209447,-.2078453,-.3422787,0,20,22,32,68,"Enter",.0001711,0,.0000215,.0000198,.0000249,.0000562,0,.000969,.0006351,.0007904,.0012576,280495,730600,928580,1112210,1287406,1209075,.0000347
"Service","ServiceCon",6.999996,-.3147613,-.3053416,-.2856607,-.3315759,-.2992944,0,60,165,167,67,"Con",.000025,0,.0000646,.0001484,.0001297,.0000554,0,.001497,.0028799,.0034974,.0015353,280495,730600,928580,1112210,1287406,1209075,-9.20e-06
"Machine operators and laborers","Machine operators and laborersEd",-16,-.3130015,-.432394,-.2898733,-.3669564,-.2956853,0,60,0,31,44,"Ed",-.000057,0,.0000646,0,.0000241,.0000364,0,.0013643,0,.0009624,.0018678,280495,730600,928580,1112210,1287406,1209075,-.0000282
"Machine operators and laborers","Machine operators and laborersTran_U_Com",-480,.0908951,.1858846,.1716691,.1184553,.1783722,0,480,209,422,0,"Tran_U_Com",-.0017113,0,.0005169,.0001879,.0003278,0,0,.0019099,.0008622,.0020056,0,280495,730600,928580,1112210,1287406,1209075,-.0005169
"Transportation","TransportationPub",-260,-.0691136,-.2115973,-.095042,-.0596162,.1016231,100,260,59,153,0,"Pub",-.0009269,.0001369,.00028,.000053,.0001188,0,.0011299,.0020917,.0005695,.002072,0,280495,730600,928580,1112210,1287406,1209075,-.00028
"Farming","FarmingTran_U_Com",0,-.0985359,-.1514228,-.1699348,-.123928,-.2118973,0,0,0,106,0,"Tran_U_Com",0,0,0,0,.0000823,0,0,0,0,.0059437,0,280495,730600,928580,1112210,1287406,1209075,0
"Farming","FarmingCon",0,-.2542905,-.3333689,-.3985285,-.2858209,-.2967807,0,0,25,48,0,"Con",0,0,0,.0000225,.0000373,0,0,0,.0015854,.002185,0,280495,730600,928580,1112210,1287406,1209075,0
"Transportation","TransportationO_Serv",-20,-.4284754,-.55414,-.4178996,-.3594202,-.3167799,0,20,91,111,0,"O_Serv",-.0000713,0,.0000215,.0000818,.0000862,0,0,.0004312,.0014865,.0013205,0,280495,730600,928580,1112210,1287406,1209075,-.0000215
"Farming","FarmingEd",-60,-.3557116,-.4651276,-.3547315,-.3560366,-.2429978,0,60,13,26,0,"Ed",-.0002139,0,.0000646,.0000117,.0000202,0,0,.0021038,.0003911,.0005871,0,280495,730600,928580,1112210,1287406,1209075,-.0000646
"Craft and construction","Craft and constructionPub",-220,.1332198,.0745825,.1345446,.1401384,.2657196,200,220,92,337,0,"Pub",-.0007843,.0002737,.0002369,.0000827,.0002618,0,.0008081,.0008989,.000416,.001609,0,280495,730600,928580,1112210,1287406,1209075,-.0002369
"Service","ServiceLegal",-20,-.3714495,-.3093126,-.2730611,-.3243662,-.5576195,0,20,63,0,0,"Legal",-.0000713,0,.0000215,.0000566,0,0,0,.0047847,.0088359,0,0,280495,730600,928580,1112210,1287406,1209075,-.0000215
"Machine operators and laborers","Machine operators and laborersFin",-120,-.1310396,-.0063467,.0521604,.0578669,-.1464292,0,120,210,176,0,"Fin",-.0004278,0,.0001292,.0001888,.0001367,0,0,.0046476,.005922,.005101,0,280495,730600,928580,1112210,1287406,1209075,-.0001292
"Farming","FarmingO_Serv",0,-.3256951,-.4309777,-.3414759,-.3648212,-.3431127,0,0,0,73,0,"O_Serv",0,0,0,0,.0000567,0,0,0,0,.0014865,0,280495,730600,928580,1112210,1287406,1209075,0
"Farming","FarmingTrade",-40,-.4496106,-.4141543,-.4001686,-.3111288,-.2115914,0,40,125,236,0,"Trade",-.0001426,0,.0000431,.0001124,.0001833,0,0,.0021075,.0023757,.0021054,0,280495,730600,928580,1112210,1287406,1209075,-.0000431
"Finance and sales","Finance and salesPub",-40,.0477069,.0149198,-.027099,.0654481,.087975,0,40,54,144,0,"Pub",-.0001426,0,.0000431,.0000486,.0001119,0,0,.0012987,.0018958,.0031433,0,280495,730600,928580,1112210,1287406,1209075,-.0000431
"Farming","FarmingBus_Rep",-40,-.8880187,-.7342272,-.5442977,-.3981563,-.4946234,0,40,30,33,0,"Bus_Rep",-.0001426,0,.0000431,.000027,.0000256,0,0,.0017406,.0009694,.0003313,0,280495,730600,928580,1112210,1287406,1209075,-.0000431
"Craft and construction","Craft and constructionLegal",0,.38854,-.1943256,.2093785,.2587945,.0375627,0,0,31,0,0,"Legal",0,0,0,.0000279,0,0,0,0,.0302734,0,0,280495,730600,928580,1112210,1287406,1209075,0
"Farming","FarmingFin",-40,-.3664071,-.3843991,-.3711236,-.4342292,-.2938983,0,40,0,23,0,"Fin",-.0001426,0,.0000431,0,.0000179,0,0,.001497,0,.000838,0,280495,730600,928580,1112210,1287406,1209075,-.0000431
"Farming","FarmingLegal",0,,-1.748095,-.2315464,.4299837,-.8812072,,0,0,0,0,"Legal",0,,0,0,0,0,,0,0,0,0,280495,,928580,1112210,1287406,1209075,0
"Farming","FarmingPub",-40,-.2216799,-.2806914,-.2353754,-.1548316,-.1541386,0,40,0,65,0,"Pub",-.0001426,0,.0000431,0,.0000505,0,0,.0007971,0,.0018251,0,280495,730600,928580,1112210,1287406,1209075,-.0000431
"Transportation","TransportationLegal",0,-.7277573,-.5759665,-.2276843,-.4142013,.0831525,0,0,0,0,0,"Legal",0,0,0,0,0,0,0,0,0,0,0,280495,730600,928580,1112210,1287406,1209075,0
"Machine operators and laborers","Machine operators and laborersHealth",-160,-.1454249,-.1181323,-.1515699,-.1914271,-.1971885,100,160,33,60,0,"Health",-.0005704,.0001369,.0001723,.0000297,.0000466,0,.0013441,.0019198,.0004181,.0008571,0,280495,730600,928580,1112210,1287406,1209075,-.0001723
"Machine operators and laborers","Machine operators and laborersEnter",-40,.02341,-.1442411,-.0969231,-.1431269,-.1260947,200,40,141,53,0,"Enter",-.0001426,.0002737,.0000431,.0001268,.0000412,0,.010582,.0019102,.0050348,.0021321,0,280495,730600,928580,1112210,1287406,1209075,-.0000431
"Farming","FarmingHealth",-20,-.370263,-.2744901,-.3234568,-.4216504,-.3067117,0,20,0,0,0,"Health",-.0000713,0,.0000215,0,0,0,0,.002611,0,0,0,280495,730600,928580,1112210,1287406,1209075,-.0000215
"Farming","FarmingEnter",-80,-.2287646,-.3313314,-.2919101,-.2845327,-.364486,0,80,68,86,0,"Enter",-.0002852,0,.0000862,.0000611,.0000668,0,0,.0023041,.0008581,.0008035,0,280495,730600,928580,1112210,1287406,1209075,-.0000862
"Craft and construction","Craft and constructionFin",-520,.0732094,-.0827869,-.0466173,-.0662223,-.0379677,200,520,419,463,0,"Fin",-.0018539,.0002737,.00056,.0003767,.0003596,0,.0041322,.0070062,.0038864,.0029606,0,280495,730600,928580,1112210,1287406,1209075,-.00056
"Machine operators and laborers","Machine operators and laborersLegal",0,.208156,.0214696,-.0758446,.1738003,.0444465,0,0,0,30,0,"Legal",0,0,0,0,.0000233,0,0,0,0,.0203943,0,280495,730600,928580,1112210,1287406,1209075,0
"Machine operators and laborers","Machine operators and laborersNA",,-.0820564,,,,,1300,,,,,"NA",,.0017794,,,,,.0016594,,,,,,730600,,,,,
"Professional specialists","Professional specialistsNA",,.1398355,,,,,600,,,,,"NA",,.0008212,,,,,.0228137,,,,,,730600,,,,,
"Craft and construction","Craft and constructionNA",,.0074043,,,,,2500,,,,,"NA",,.0034218,,,,,.0047674,,,,,,730600,,,,,
"Administrative","AdministrativeNA",,-.0272659,,,,,1700,,,,,"NA",,.0023269,,,,,.0023237,,,,,,730600,,,,,
"Transportation","TransportationNA",,-.3168539,,,,,400,,,,,"NA",,.0005475,,,,,.0015308,,,,,,730600,,,,,
"Service","ServiceNA",,-.3931693,,,,,1100,,,,,"NA",,.0015056,,,,,.001557,,,,,,730600,,,,,
"Farming","FarmingNA",,-.5833673,,,,,600,,,,,"NA",,.0008212,,,,,.0044477,,,,,,730600,,,,,
"Military","MilitaryNA",,-.3151428,-.1850327,,,,2500,1460,,,,"NA",,.0034218,.0015723,,,,.0012521,.0009051,,,,,730600,928580,,,,
"Managerial","ManagerialNA",,.077128,,,,,14300,,,,,"NA",,.019573,,,,,.0220543,,,,,,730600,,,,,
"Finance and sales","Finance and salesNA",,-.223708,,,,,2200,,,,,"NA",,.0030112,,,,,.0075549,,,,,,730600,,,,,
