ind1990,sh_top11970,top11970,earn_res1970,agg_inc1970,num_top11970,us_num_top11970,us_agg_inc1970,sh_agg1970,sh_top11980,top11980,earn_res1980,agg_inc1980,num_top11980,us_num_top11980,us_agg_inc1980,sh_agg1980,sh_top11990,top11990,earn_res1990,agg_inc1990,num_top11990,us_num_top11990,us_agg_inc1990,sh_agg1990,sh_top12000,top12000,earn_res2000,agg_inc2000,num_top12000,us_num_top12000,us_agg_inc2000,sh_agg2000,sh_top12015,top12015,earn_res2015,agg_inc2015,num_top12015,us_num_top12015,us_agg_inc2015,sh_agg2015,change,us_change,sh_agg_incx,sh_change,sh_agg_change
"Miscellaneous general merchandise stores",.0020531,.008918,-.1829487,7106228,1500,730600,6.64e+09,.0010703,.0006461,.0046026,-.1739955,5620708,600,928580,1.50e+10,.0003744,.000348,.002904,-.2153279,5667164,387,1112210,3.56e+10,.0001591,.0002501,.0028472,-.2553372,6708813,322,1287406,6.42e+10,.0001045,.0009296,.0019716,-.2575353,2.91e+07,1124,1209075,9.13e+10,.0003184,524,280495,.0003073,.0018681,-.000056
"Offices and clinics of chiropractors",.0012319,.0661765,-.0953108,1.04e+07,900.0001,730600,6.64e+09,.0015737,.0018092,.0498516,-.11819,2.96e+07,1680,928580,1.50e+10,.0019745,.0065132,.0832462,-.0172877,2.90e+08,7244,1112210,3.56e+10,.0081408,.0020219,.0242912,-.1539214,1.28e+08,2603,1287406,6.42e+10,.0019879,.0009238,.0082554,-.2842709,5.68e+07,1117,1209075,9.13e+10,.0006223,-563,280495,.0003561,-.0020072,-.0013522
"Retail nurseries and garden stores",,,,,,,,,.0003231,.0056075,-.1985738,3291819,300,928580,1.50e+10,.0002192,.0002302,.0036648,-.2626418,4455939,256,1112210,3.56e+10,.0001251,.0007115,.0049763,-.1256346,2.76e+07,916,1287406,6.42e+10,.0004306,.0009139,.0052017,-.1058313,4.57e+07,1105,1209075,9.13e+10,.0005009,805,280495,.0005564,.0028699,.0002817
"Misc. food preparations and kindred products",.0013687,.0075019,.1162273,7442461,1000,730600,6.64e+09,.0011209,.0016369,.0096324,.1040221,2.14e+07,1520,928580,1.50e+10,.0014232,.000775,.0059896,.0616876,1.94e+07,862.0001,1112210,3.56e+10,.0005444,.0014735,.012497,.1244548,7.42e+07,1897,1287406,6.42e+10,.0011554,.0008908,.0050192,.0770067,4.97e+07,1077,1209075,9.13e+10,.0005441,-443,280495,.000371,-.0015794,-.0008791
"Furniture and home furnishings",,,,,,,,,.0021323,.0269902,.1017784,3.20e+07,1980,928580,1.50e+10,.0021342,.0017155,.0189061,.1738692,5.48e+07,1908,1112210,3.56e+10,.0015393,.001298,.0170974,.11975,7.04e+07,1671,1287406,6.42e+10,.0010963,.0008792,.0118225,.128642,6.20e+07,1063,1209075,9.13e+10,.000679,-917,280495,.0003925,-.0032692,-.0014552
"Glass and glass products",.0009581,.0040023,.1821019,5297988,700,730600,6.64e+09,.000798,.0013138,.0052764,.2047272,1.84e+07,1220,928580,1.50e+10,.0012226,.0006752,.0036802,.1691017,1.90e+07,751,1112210,3.56e+10,.0005333,.0005903,.0045424,.1196367,2.67e+07,760,1287406,6.42e+10,.0004155,.0008775,.0074961,.1450375,5.39e+07,1061,1209075,9.13e+10,.0005908,-159,280495,.0004664,-.0005669,-.0006318
"Social services, n.e.c.",.0005475,.0012841,-.0013562,2359666,400,730600,6.64e+09,.0003554,.0009261,.0016985,-.1292396,9214798,860,928580,1.50e+10,.0006137,.0012408,.0018664,-.1564014,2.73e+07,1380,1112210,3.56e+10,.0007675,.0010781,.0021667,-.2018451,3.81e+07,1388,1287406,6.42e+10,.000594,.000861,.0006342,-.2716207,3.59e+07,1041,1209075,9.13e+10,.0003938,181,280495,.0003505,.0006453,-.0002199
"Paints, varnishes, and related products",.0016425,.0181818,.1727851,1.00e+07,1200,730600,6.64e+09,.0015129,.0007969,.0103323,.162922,1.23e+07,740,928580,1.50e+10,.0008218,.0006608,.0105216,.1816713,2.09e+07,735,1112210,3.56e+10,.0005878,.0006121,.0111317,.2210363,3.48e+07,788,1287406,6.42e+10,.0005415,.0008387,.0147431,.2217584,6.50e+07,1014,1209075,9.13e+10,.000712,274,280495,.0006904,.0009768,-.0001098
"Gift, novelty, and souvenir shops",,,,,,,,,,,,,,,,,.0004208,.0029732,-.4473619,6174822,468,1112210,3.56e+10,.0001733,.0006121,.0035932,-.3781612,1.72e+07,788,1287406,6.42e+10,.0002679,.0008304,.0077574,-.5165331,2.69e+07,1004,1209075,9.13e+10,.0002944,,,,,
"Child day care services",,,,,,,,,.0003446,.0009639,-.6110754,1696899,320,928580,1.50e+10,.000113,.0003309,.0006299,-.6020291,3395110,368,1112210,3.56e+10,.0000953,.0012482,.0010899,-.5385475,2.30e+07,1607,1287406,6.42e+10,.0003585,.000813,.0006812,-.4424431,2.16e+07,983,1209075,9.13e+10,.0002363,663,280495,.0002605,.0023637,.0001232
"Sawmills, planing mills, and millwork",.0020531,.0047125,-.0886165,9604147,1500,730600,6.64e+09,.0014465,.0028,.0071784,.0108511,3.51e+07,2600,928580,1.50e+10,.0023387,.0014799,.0045736,.0091297,3.54e+07,1646,1112210,3.56e+10,.0009948,.0017306,.0048839,-.0082228,6.81e+07,2228,1287406,6.42e+10,.0010602,.0007626,.002411,-.0192756,3.80e+07,922,1209075,9.13e+10,.0004161,-1678,280495,.0000375,-.0059823,-.0019227
"Newspaper publishing and printing",.00219,.0043069,-.0209864,1.14e+07,1600,730600,6.64e+09,.0017204,.0031661,.0066139,-.0898781,3.86e+07,2940,928580,1.50e+10,.0025696,.0021471,.0049559,-.0916416,5.46e+07,2388,1112210,3.56e+10,.0015324,.0022378,.0060986,-.0997961,9.63e+07,2881,1287406,6.42e+10,.0015008,.0007212,.0039765,-.2710556,3.68e+07,872,1209075,9.13e+10,.0004034,-2068,280495,-.000023,-.0073727,-.0021661
"Alcoholic beverages",.0013687,.0125786,.1688724,9126729,999.9999,730600,6.64e+09,.0013746,.00168,.013966,.145644,2.68e+07,1560,928580,1.50e+10,.0017869,.0013028,.0123238,.1832894,4.30e+07,1449,1112210,3.56e+10,.0012072,.0009057,.0092337,.1670823,4.77e+07,1166,1287406,6.42e+10,.0007439,.0007088,.0061797,.2257596,5.08e+07,857,1209075,9.13e+10,.0005571,-703,280495,.000315,-.0025063,-.0012298
"Wholesale trade, n.s. ",.0020531,.0236593,.1256166,1.32e+07,1500,730600,6.64e+09,.001982,.0078615,.0384372,.0723006,1.36e+08,7300,928580,1.50e+10,.0090529,.0082691,.0257067,.0869176,2.94e+08,9197,1112210,3.56e+10,.0082459,.0040453,.0194794,.0297736,2.38e+08,5208,1287406,6.42e+10,.0037096,.0006997,.0102186,-.0719172,4.27e+07,846.0001,1209075,9.13e+10,.000468,-6454,280495,-.0012223,-.0230093,-.008585
"Jewelry stores",.0019162,.0150376,-.0808685,9437895,1400,730600,6.64e+09,.0014215,.0014431,.0097682,-.1074921,1.48e+07,1340,928580,1.50e+10,.0009836,.0008784,.0058105,-.0711056,1.95e+07,977,1112210,3.56e+10,.0005477,.0008972,.0067446,-.0524505,3.57e+07,1155,1287406,6.42e+10,.0005565,.0006873,.0050347,-.1158597,3.48e+07,831,1209075,9.13e+10,.0003815,-509,280495,.000263,-.0018146,-.0006021
"Laundry, cleaning, and garment services",.0041062,.0061627,-.1701869,1.41e+07,3000,730600,6.64e+09,.0021211,.0015723,.0040693,-.2312827,1.32e+07,1460,928580,1.50e+10,.0008813,.001506,.0039747,-.2170354,2.57e+07,1675,1112210,3.56e+10,.0007207,.0008148,.0032251,-.2107342,2.35e+07,1049,1287406,6.42e+10,.0003661,.0006782,.0031967,-.2333208,2.44e+07,820,1209075,9.13e+10,.0002675,-640,280495,.0001466,-.0022817,-.0006138
"Cement, concrete, gypsum, and plaster products",.0034218,.0141403,.1264328,2.10e+07,2500,730600,6.64e+09,.0031618,.0017877,.0095876,.1730718,2.80e+07,1660,928580,1.50e+10,.0018678,.0011338,.0092415,.1790286,3.58e+07,1261,1112210,3.56e+10,.0010056,.0010486,.0079825,.1717211,5.33e+07,1350,1287406,6.42e+10,.0008311,.0006757,.0057836,.1926444,4.48e+07,817,1209075,9.13e+10,.000491,-843,280495,.0002199,-.0030054,-.0013768
"Miscellaneous paper and pulp products",.0017794,.00958,.1783733,9954676,1300,730600,6.64e+09,.0014993,.0014646,.0076836,.1885903,2.06e+07,1360,928580,1.50e+10,.0013733,.0011976,.0082864,.2134504,3.54e+07,1332,1112210,3.56e+10,.0009945,.000922,.008206,.2050336,4.65e+07,1187,1287406,6.42e+10,.0007245,.0006683,.0083692,.2158944,4.51e+07,808,1209075,9.13e+10,.0004942,-552,280495,.0003211,-.0019679,-.0008791
"U.S. Postal Service",.001095,.0011576,.0743825,6263534,800.0001,730600,6.64e+09,.0009434,.0009261,.0012287,.2486303,1.56e+07,860,928580,1.50e+10,.001042,.0006914,.0009039,.2964153,2.31e+07,769,1112210,3.56e+10,.0006485,.0010688,.0015533,.2287479,5.43e+07,1376,1287406,6.42e+10,.0008459,.0006526,.0012342,.2508509,4.12e+07,789.0001,1209075,9.13e+10,.0004518,-70.99994,280495,.0003356,-.0002531,-.0005902
"Food stores, n.e.c.",.0002737,.0018975,-.1558177,1157865,200,730600,6.64e+09,.0001744,.0006461,.0043681,-.245451,6006595,600,928580,1.50e+10,.0004001,.0005332,.0041661,-.2008481,1.01e+07,593,1112210,3.56e+10,.0002847,.0006183,.004481,-.1896596,2.02e+07,796,1287406,6.42e+10,.0003142,.0006211,.003361,-.2514763,2.23e+07,751,1209075,9.13e+10,.0002445,151,280495,.0002139,.0005383,-.0001556
"Shoe stores",.0012319,.0075949,-.1260108,5076380,900,730600,6.64e+09,.0007646,.0008185,.0053566,-.1522572,7321546,760,928580,1.50e+10,.0004876,.0004954,.0037952,-.1085053,8501019,551,1112210,3.56e+10,.0002386,.0003837,.0039991,-.0686983,1.12e+07,494,1287406,6.42e+10,.0001748,.0006203,.0043549,-.1664961,2.02e+07,750,1209075,9.13e+10,.0002215,-10,280495,.0001691,-.0000357,-.0002662
"Hardware stores",.0024637,.0094787,-.0874379,1.22e+07,1800,730600,6.64e+09,.0018321,.0013569,.0075712,-.1482586,1.44e+07,1260,928580,1.50e+10,.0009585,.0007103,.0046356,-.1918413,1.46e+07,789.9999,1112210,3.56e+10,.0004109,.0005158,.0040848,-.1539633,1.83e+07,663.9999,1287406,6.42e+10,.0002854,.0006187,.0042226,-.1796629,2.60e+07,748,1209075,9.13e+10,.0002844,-512,280495,.0001517,-.0018253,-.0006741
"Metals and minerals, except petroleum",.0031481,.0255556,.2487671,2.28e+07,2300,730600,6.64e+09,.0034349,.0024984,.0228257,.2268033,4.24e+07,2320,928580,1.50e+10,.0028262,.0021282,.0248376,.2572444,7.87e+07,2367,1112210,3.56e+10,.0022095,.0014479,.0218155,.245174,9.04e+07,1864,1287406,6.42e+10,.0014082,.0006087,.0121216,.2295228,4.90e+07,736,1209075,9.13e+10,.0005368,-1584,280495,.000086,-.0056472,-.0022894
"Scrap and waste materials",.0020531,.0210379,-.059006,1.11e+07,1500,730600,6.64e+09,.0016724,.0017661,.015236,-.1153755,2.15e+07,1640,928580,1.50e+10,.0014331,.001462,.011912,-.0858499,3.60e+07,1626,1112210,3.56e+10,.0010112,.0006082,.0074315,-.077708,2.51e+07,783,1287406,6.42e+10,.0003907,.0006005,.0073894,-.0958656,3.16e+07,726,1209075,9.13e+10,.0003459,-914,280495,.0001318,-.0032585,-.0010873
"Administration of environmental quality and housing programs",,,,,,,,,.0003662,.0013942,-.0404229,4995761,340,928580,1.50e+10,.0003327,.0002598,.0019683,.0619099,8598119,289,1112210,3.56e+10,.0002414,.0001375,.0007583,.0715212,8037445,177,1287406,6.42e+10,.0001252,.000598,.0030316,.1056871,4.71e+07,723,1209075,9.13e+10,.000516,383,280495,.0005521,.0013654,.0001833
"Plastics, synthetics, and resins",.001095,.0056818,.1839057,6576023,800,730600,6.64e+09,.0009904,.0016584,.0067325,.1777797,2.44e+07,1540,928580,1.50e+10,.001627,.0011581,.0076403,.2420885,3.85e+07,1288,1112210,3.56e+10,.0010817,.0002726,.0061992,.2636726,1.61e+07,351,1287406,6.42e+10,.0002513,.0005897,.004032,.1265763,3.51e+07,713.0001,1209075,9.13e+10,.0003851,-826.9999,280495,.0001406,-.0029484,-.0012419
"Sporting goods, bicycles, and hobby stores",,,,,,,,,.0012277,.0064016,-.3374296,1.06e+07,1140,928580,1.50e+10,.0007047,.0011284,.0047041,-.3475946,1.95e+07,1255,1112210,3.56e+10,.0005469,.001183,.0045735,-.2975125,3.54e+07,1523,1287406,6.42e+10,.0005522,.0005881,.0015552,-.3036283,2.04e+07,711,1209075,9.13e+10,.0002234,-429,280495,.0001287,-.0015294,-.0004812
"Funeral service and crematories",,,,,,,,,.0011846,.0175159,-.123645,1.74e+07,1100,928580,1.50e+10,.0011568,.0009378,.0145305,-.0728763,2.98e+07,1043,1112210,3.56e+10,.0008365,.0009259,.0103333,-.0352271,4.64e+07,1192,1287406,6.42e+10,.0007225,.0005806,.0062151,-.1023924,3.36e+07,702,1209075,9.13e+10,.0003679,-398,280495,.0002126,-.0014189,-.0007889
"Automotive rental and leasing, without drivers",,,,,,,,,,,,,,,,,.0008578,.0070728,.0631616,2.13e+07,954,1112210,3.56e+10,.0005987,.0011838,.0095365,.0304983,5.18e+07,1524,1287406,6.42e+10,.0008066,.0005475,.004044,-.0375848,2.96e+07,662,1209075,9.13e+10,.0003245,,,,,
"Religious organizations",.0016425,.0029791,-.6302074,6267870,1200,730600,6.64e+09,.000944,.0010985,.0017977,-.6446396,9609417,1020,928580,1.50e+10,.00064,.0005898,.0009043,-.6148271,1.13e+07,656,1112210,3.56e+10,.0003174,.0006851,.0010395,-.5451101,2.30e+07,882,1287406,6.42e+10,.0003589,.0005409,.0007249,-.5480253,2.34e+07,654,1209075,9.13e+10,.0002563,-366,280495,.0001807,-.0013048,-.0003838
"Paper and paper products",.0012319,.0129496,.1426518,8088281,900,730600,6.64e+09,.0012182,.0024984,.0224981,.1434309,3.93e+07,2320,928580,1.50e+10,.0026159,.0022064,.0193619,.2213392,7.50e+07,2454,1112210,3.56e+10,.002104,.0015683,.0175122,.1711916,9.02e+07,2019,1287406,6.42e+10,.0014059,.0005351,.0112399,.1493689,3.96e+07,647,1209075,9.13e+10,.0004338,-1673,280495,4.18e-06,-.0059645,-.0021821
"Primary aluminum industries",.001095,.0056657,.1667857,6702181,800,730600,6.64e+09,.0010094,.0012061,.006523,.2759989,2.08e+07,1120,928580,1.50e+10,.0013858,.0008362,.0067211,.2533123,2.81e+07,930,1112210,3.56e+10,.000788,.0006564,.0085306,.2033194,3.52e+07,844.9999,1287406,6.42e+10,.000548,.0005103,.0089027,.2392697,3.50e+07,617,1209075,9.13e+10,.000384,-503,280495,.0001868,-.0017933,-.0010018
"Sugar and confectionery products",.001095,.0118871,.1199405,5018366,800,730600,6.64e+09,.0007558,.0007323,.0067313,.1021208,9404195,680,928580,1.50e+10,.0006264,.0006599,.0081543,.126326,1.80e+07,734,1112210,3.56e+10,.0005058,.0005103,.0084438,.096733,2.34e+07,657,1287406,6.42e+10,.000365,.0005053,.0080505,.0797682,3.04e+07,611,1209075,9.13e+10,.0003329,-69,280495,.0002751,-.000246,-.0002935
"Meat products",.0006844,.0018832,.099067,3420019,500,730600,6.64e+09,.0005151,.0016154,.004788,.0983427,1.96e+07,1500,928580,1.50e+10,.0013072,.0010843,.0039595,.0041381,2.19e+07,1206,1112210,3.56e+10,.0006145,.00103,.0032276,-.0061908,3.27e+07,1326,1287406,6.42e+10,.0005093,.0005053,.0014347,.0400246,2.20e+07,611,1209075,9.13e+10,.0002411,-889,280495,.0000312,-.0031694,-.0010661
"Book and stationery stores",,,,,,,,,.0015292,.010266,-.2562981,1.45e+07,1420,928580,1.50e+10,.0009671,.0006662,.0038417,-.270566,1.23e+07,741,1112210,3.56e+10,.0003451,.0013096,.004931,-.2034491,4.48e+07,1686,1287406,6.42e+10,.0006983,.0004987,.002419,-.2686594,2.09e+07,603,1209075,9.13e+10,.0002292,-817,280495,.0000839,-.0029127,-.0007379
"Miscellaneous vehicle dealers",.0026006,.0267606,.0215167,1.53e+07,1900,730600,6.64e+09,.002307,.0007969,.0100983,-.0634486,9832679,740,928580,1.50e+10,.0006549,.0006968,.0091775,-.0142045,1.88e+07,775,1112210,3.56e+10,.0005278,.0012203,.011308,.0730389,5.96e+07,1571,1287406,6.42e+10,.0009287,.0004731,.0041117,.0675206,2.72e+07,572,1209075,9.13e+10,.0002975,-168,280495,.0002272,-.0005989,-.0003574
"Fuel dealers",.0012319,.0099228,-.0064186,6912040,900.0001,730600,6.64e+09,.0010411,.0009261,.0101583,.0021697,1.25e+07,860,928580,1.50e+10,.0008351,.0008308,.0082507,.1002715,2.45e+07,924,1112210,3.56e+10,.000689,.0003705,.0078804,.0452839,1.73e+07,477,1287406,6.42e+10,.00027,.0004532,.0067126,.1006488,2.72e+07,548,1209075,9.13e+10,.0002975,-312,280495,.0001916,-.0011123,-.0005376
"Yarn, thread, and fabric mills",.0035587,.0044399,.0744598,1.42e+07,2600,730600,6.64e+09,.0021421,.0035538,.0059711,.0618814,3.66e+07,3300,928580,1.50e+10,.0024353,.0017011,.0039854,.0948854,3.68e+07,1892,1112210,3.56e+10,.001033,.0009383,.0051157,.0618414,3.53e+07,1208,1287406,6.42e+10,.0005502,.000435,.0049373,.0247385,2.31e+07,526,1209075,9.13e+10,.0002527,-2774,280495,-.0001771,-.0098897,-.0021826
"Dairy products",.0015056,.0070649,.0661606,8480668,1100,730600,6.64e+09,.0012773,.00084,.0053675,.0974523,1.13e+07,780,928580,1.50e+10,.0007538,.0007481,.0061448,.1275097,2.05e+07,832,1112210,3.56e+10,.0005745,.0004024,.0047954,.1411306,1.84e+07,518,1287406,6.42e+10,.0002866,.0004251,.0035753,.2221744,2.69e+07,514,1209075,9.13e+10,.0002953,-266,280495,.000205,-.0009483,-.0004585
"Warehousing and storage",.0009581,.0058528,-.0046397,4711773,700,730600,6.64e+09,.0007097,.0013784,.0070345,.0096217,1.68e+07,1280,928580,1.50e+10,.0011163,.001052,.0060541,-.0296349,2.41e+07,1170,1112210,3.56e+10,.0006767,.0008342,.0041682,-.0158066,3.13e+07,1074,1287406,6.42e+10,.0004872,.0004086,.0010458,-.0788327,1.54e+07,494,1209075,9.13e+10,.0001685,-786,280495,-.0000181,-.0028022,-.0009478
"Video tape rental",,,,,,,,,,,,,,,,,.0003381,.0035792,-.3907867,4333027,376,1112210,3.56e+10,.0001216,.000306,.0036981,-.3493286,6171140,394,1287406,6.42e+10,.0000961,.000402,.0347664,-.2027676,2.17e+07,486,1209075,9.13e+10,.0002379,,,,,
"Administration of economic programs",,,,,,,,,.0013784,.0024914,.0744113,2.13e+07,1280,928580,1.50e+10,.0014183,.0007238,.0015177,.03463,2.22e+07,805,1112210,3.56e+10,.0006231,.000936,.0021325,-.0116924,4.75e+07,1205,1287406,6.42e+10,.0007405,.0003987,.0010004,.2234772,3.35e+07,482,1209075,9.13e+10,.0003675,-798,280495,.0001607,-.002845,-.0010507
"Misc. nonmetallic mineral and stone products",.0005475,.0035492,.108489,3144951,400,730600,6.64e+09,.0004737,.0009692,.0067771,.1345218,1.37e+07,900,928580,1.50e+10,.0009127,.0006851,.0069171,.1853425,2.07e+07,762,1112210,3.56e+10,.000582,.0004474,.0071817,.1392049,2.16e+07,576,1287406,6.42e+10,.0003371,.0003987,.0064375,.1186846,2.47e+07,482,1209075,9.13e+10,.0002704,-418,280495,.0001439,-.0014902,-.0006423
"Farm machinery and equipment",.0008212,.0042735,.1171276,4765321,600,730600,6.64e+09,.0007177,.0011631,.0058397,.2379843,1.85e+07,1080,928580,1.50e+10,.0012305,.0005512,.0065569,.1174615,1.67e+07,613,1112210,3.56e+10,.0004676,.0006377,.008288,.1014138,3.14e+07,820.9999,1287406,6.42e+10,.0004893,.0003896,.0047251,.164949,2.66e+07,471,1209075,9.13e+10,.0002914,-609,280495,.0001065,-.0021712,-.0009391
"Public finance, taxation, and monetary policy",,,,,,,,,.0005169,.0017522,.1262044,7061650,480,928580,1.50e+10,.0004703,.0002922,.0010466,.1457878,8550496,325,1112210,3.56e+10,.00024,.0005266,.0020625,.1827098,2.80e+07,678,1287406,6.42e+10,.0004355,.0003887,.0015862,.239823,2.91e+07,470,1209075,9.13e+10,.0003189,-10.00006,280495,.0002891,-.0000357,-.0001514
"Toys, amusement, and sporting goods",,,,,,,,,.00112,.0082579,-.0204966,1.14e+07,1040,928580,1.50e+10,.0007563,.0010744,.0095119,-.0536263,2.49e+07,1195,1112210,3.56e+10,.0006991,.001162,.0115646,-.0527193,4.99e+07,1496,1287406,6.42e+10,.0007768,.0003829,.005371,.0425286,2.47e+07,463,1209075,9.13e+10,.0002703,-577,280495,.0001746,-.0020571,-.000486
"Ship and boat building and repairing",.0009581,.0027592,.1541589,5849139,700,730600,6.64e+09,.000881,.0012277,.0038691,.1300324,1.80e+07,1140,928580,1.50e+10,.0011997,.0006671,.0027319,.1385,1.98e+07,742,1112210,3.56e+10,.0005554,.0006059,.0043103,.106918,2.92e+07,780,1287406,6.42e+10,.0004547,.0003788,.0025953,.2510997,2.62e+07,458,1209075,9.13e+10,.0002868,-682,280495,.0001071,-.0024314,-.0009129
"Other primary metal industries",.0016425,.0060821,.1331179,9483254,1200,730600,6.64e+09,.0014283,.0021754,.0084237,.190102,3.27e+07,2020,928580,1.50e+10,.0021752,.0011275,.0082313,.2210496,3.50e+07,1254,1112210,3.56e+10,.0009834,.0003262,.0061356,.2105628,1.68e+07,420,1287406,6.42e+10,.000262,.0003788,.0079484,.2153244,2.68e+07,458,1209075,9.13e+10,.0002932,-1562,280495,-.0000774,-.0055687,-.0018821
"Electrical repair shops",.0009581,.0055644,-.0718111,5092723,700,730600,6.64e+09,.000767,.0006677,.0047803,-.1462807,8233451,620,928580,1.50e+10,.0005484,.0002913,.0037897,-.1185157,7460092,324,1112210,3.56e+10,.0002094,.0007573,.005692,-.0282652,3.53e+07,975,1287406,6.42e+10,.0005502,.0003771,.0037823,-.1190379,2.15e+07,456,1209075,9.13e+10,.0002353,-164,280495,.0001736,-.0005847,-.0003131
"Miscellaneous fabricated textile products",.0012319,.0080357,.0121031,4638215,900.0001,730600,6.64e+09,.0006986,.0009908,.0071064,-.0256498,8994275,920,928580,1.50e+10,.0005991,.0006285,.0057437,-.0283578,1.20e+07,699,1112210,3.56e+10,.0003364,.0007061,.0049964,-.0214779,2.43e+07,909,1287406,6.42e+10,.0003781,.0003738,.0057492,-.0190108,1.83e+07,452,1209075,9.13e+10,.000201,-468,280495,.0001226,-.0016685,-.0003981
"Miscellaneous petroleum and coal products",.0006844,.0259067,.1374959,4511917,500,730600,6.64e+09,.0006796,.0003662,.0110677,.2127622,5976383,340,928580,1.50e+10,.0003981,.0001807,.0083743,.2442322,6310586,201,1112210,3.56e+10,.0001771,.000334,.0131975,.2129835,1.88e+07,430,1287406,6.42e+10,.0002927,.0003639,.0157525,.2025793,3.07e+07,440,1209075,9.13e+10,.0003359,100,280495,.0003237,.0003565,-.0000621
"Tobacco manufactures",.0004106,.0044379,.1025884,1855074,300,730600,6.64e+09,.0002794,.0006031,.0081895,.2074553,8588781,560,928580,1.50e+10,.0005721,.0003507,.0078643,.4324535,1.44e+07,390,1112210,3.56e+10,.0004044,.0004715,.0168042,.3684122,3.42e+07,607,1287406,6.42e+10,.0005336,.0003598,.0214243,.2691653,3.57e+07,435,1209075,9.13e+10,.0003916,-125,280495,.0003561,-.0004456,-.0001805
"Iron and steel foundries",.0026006,.0059043,.1630604,1.53e+07,1900,730600,6.64e+09,.0023101,.0006461,.0029668,.1651117,9435277,600,928580,1.50e+10,.0006284,.0005907,.0064541,.1914564,1.75e+07,657,1112210,3.56e+10,.0004926,.0007037,.0051094,.1466455,3.26e+07,906,1287406,6.42e+10,.0005076,.0003408,.0042915,.135172,2.15e+07,412,1209075,9.13e+10,.0002358,-188,280495,.0001585,-.0006702,-.0003926
"Liquor stores",.0013687,.0111235,-.1054603,7365907,1000,730600,6.64e+09,.0011094,.0011846,.0084304,-.2532403,1.24e+07,1100,928580,1.50e+10,.000827,.0007049,.0058623,-.2286526,1.50e+07,784,1112210,3.56e+10,.000422,.0004963,.0067642,-.229106,1.87e+07,639,1287406,6.42e+10,.000291,.0003226,.0026007,-.2497653,1.38e+07,390,1209075,9.13e+10,.0001513,-710,280495,.0000183,-.0025312,-.0006757
"Metal mining",.0004106,.0035377,.0925819,2453544,300,730600,6.64e+09,.0003695,.0009261,.0070805,.2934179,1.63e+07,860,928580,1.50e+10,.0010877,.0003893,.0066483,.2775707,1.42e+07,433,1112210,3.56e+10,.0003986,.0001142,.0071697,.274514,6972174,147,1287406,6.42e+10,.0001086,.0003201,.0081175,.524727,3.20e+07,387,1209075,9.13e+10,.0003507,-473,280495,.0002055,-.0016863,-.0007371
"Libraries",.0002737,.0020284,-.2330294,893975.6,200,730600,6.64e+09,.0001346,.0001723,.0010852,-.3142648,1400679,160,928580,1.50e+10,.0000933,.0000917,.0005361,-.4340758,1538592,102,1112210,3.56e+10,.0000432,.0001134,.000643,-.4174892,3497469,146,1287406,6.42e+10,.0000545,.0003193,.0019206,-.4070185,1.35e+07,386,1209075,9.13e+10,.0001481,226,280495,.0001589,.0008057,.0000548
"Machinery, n.s.",.0005475,.0113314,.2585569,3999207,400,730600,6.64e+09,.0006023,.0003877,.0098253,.1440521,5925493,360,928580,1.50e+10,.0003947,.0003938,.008829,.1710437,1.27e+07,438,1112210,3.56e+10,.0003577,.0018331,.0135455,.2218916,1.13e+08,2360,1287406,6.42e+10,.0017562,.0003085,.0048898,.1841622,2.24e+07,373,1209075,9.13e+10,.0002456,13,280495,.0002163,.0000463,-.0001491
"Labor unions",,,,,,,,,,,,,,,,,.0003983,.0050788,.3372458,1.49e+07,443,1112210,3.56e+10,.0004187,.0004785,.0077022,.3718295,3.13e+07,616,1287406,6.42e+10,.0004878,.0003011,.0053204,.3827068,2.60e+07,364,1209075,9.13e+10,.0002851,,,,,
"Coal mining",.0004106,.0021786,.1442119,2362506,300,730600,6.64e+09,.0003558,.0021538,.0074543,.3967251,4.04e+07,2000,928580,1.50e+10,.0026879,.0006267,.0044647,.3342022,2.38e+07,697,1112210,3.56e+10,.0006669,.0001919,.0032949,.3146424,1.17e+07,247,1287406,6.42e+10,.0001829,.0002911,.0041247,.5903624,2.62e+07,352,1209075,9.13e+10,.0002867,-1648,280495,-.0001861,-.0058753,-.0024012
"Retail bakeries",.0008212,.0047431,-.1816184,3003795,600,730600,6.64e+09,.0004524,.0005385,.003888,-.2449022,4476886,500,928580,1.50e+10,.0002982,.0003039,.0017194,-.1874374,5234506,338,1112210,3.56e+10,.0001469,.0004544,.0043542,-.132992,1.50e+07,585,1287406,6.42e+10,.0002345,.0002878,.0021013,-.1980539,9822092,348,1209075,9.13e+10,.0001076,-152,280495,.0000701,-.0005419,-.0001906
