occ1990,sh_top11970,top11970,earn_res1970,num_top11970,us_num_top11970,sh_top11980,top11980,earn_res1980,num_top11980,us_num_top11980,sh_top11990,top11990,earn_res1990,num_top11990,us_num_top11990,sh_top12000,top12000,earn_res2000,num_top12000,us_num_top12000,sh_top12015,top12015,earn_res2015,num_top12015,us_num_top12015,change,us_change,sh_change,xsh_top1
"Physicians",.1344101,.372817,.4963645,98200,730600,.1350449,.3152655,.558664,125400,928580,.1469498,.3030301,.6169297,163439,1112210,.1262717,.2438736,.6683248,162563,1287406,.1451945,.2167829,.761664,175551,1209075,50151.01,280495,.1787947,.0101496
"Managers and administrators, n.e.c.",.317821,.0507696,.2501985,232200,730600,.2624437,.0470451,.264861,243700,928580,.2246141,.045378,.3880346,249818,1112210,.1087272,.0321061,.3882839,139976,1287406,.12892,.0232297,.3776962,155874,1209075,-87826,280495,-.3131107,-.1335237
"Chief executives and public administrators",,,,,,.0002154,.0062461,.1084537,200,928580,.000196,.0125685,.1708623,218,1112210,.1447989,.1799373,.7717936,186415,1287406,.1200281,.1400298,.7383651,145123,1209075,144923,280495,.5166687,.1198127
"Lawyers ",.067205,.2044981,.3155794,49100,730600,.0646794,.1294899,.2260822,60060,928580,.0971273,.1539264,.3648272,108026,1112210,.0660522,.1031443,.373545,85036,1287406,.0772806,.093526,.4162155,93438,1209075,33378,280495,.1189968,.0126012
"Financial managers",.0186148,.0373319,.2972218,13600,730600,.0098861,.0236123,.3483458,9180,928580,.0201122,.0366546,.4694378,22369,1112210,.0317545,.0442552,.4626405,40881,1287406,.041851,.0449379,.5036976,50601,1209075,41421,280495,.1476711,.0319649
"Other financial specialists",,,,,,.0101661,.0242998,.2006288,9440,928580,.0160302,.0279979,.2688849,17829,1112210,.0278312,.0439336,.2916579,35830,1287406,.0417741,.0475476,.4039083,50508,1209075,41068,280495,.1464126,.031608
"Supervisors and proprietors of sales jobs",,,,,,.0356458,.0226028,.0950352,33100,928580,.0575188,.0197026,.1934491,63973,1112210,.0435325,.0157722,.1704469,56044,1287406,.0414722,.0123687,.1724044,50143,1209075,17043,280495,.0607604,.0058264
"Salespersons, n.e.c.",.0548864,.0210665,.0778612,40100,730600,.0483319,.0108447,-.1188652,44880,928580,.041315,.009561,-.066191,45951,1112210,.0361401,.0183102,.1481553,46527,1287406,.0363054,.0170989,.1927868,43896,1209075,-984,280495,-.0035081,-.0120264
"Managers and specialists in marketing, advertising, and public relations",.0288804,.04,.3255649,21100,730600,.0280213,.0335076,.3311504,26020,928580,.0214231,.0324123,.4170953,23827,1112210,.0360454,.0354096,.4135031,46405,1287406,.0282423,.0299597,.4202516,34147,1209075,8127,280495,.0289738,.000221
"Accountants and auditors",.0135505,.0148716,.1693917,9900,730600,.0162398,.0158377,.1805128,15080,928580,.0210167,.0154762,.2203932,23375,1112210,.0174087,.0129625,.1705103,22412,1287406,.0217431,.01408,.2057252,26289,1209075,11209,280495,.0399615,.0055032
"Financial services sales occupations",.0165617,.1387615,.4118137,12100,730600,.0159383,.119509,.358856,14800,928580,.0275101,.1098541,.4403014,30597,1112210,.0336498,.1186691,.4937034,43321,1287406,.0209334,.1113585,.554446,25310,1209075,10510,280495,.0374695,.004995
"Management analysts",,,,,,.0062246,.0544975,.2632493,5780,928580,.0135883,.0591852,.2387219,15113,1112210,.0206097,.051893,.3593806,26533,1287406,.0177036,.0288469,.3223893,21405,1209075,15625,280495,.0557051,.0114791
"Computer software developers",.0002737,.0011962,.2954948,200,730600,.0006031,.00181,.1969383,560,928580,.0018603,.003228,.2541033,2069,1112210,.0105631,.0101476,.3390046,13599,1287406,.0149809,.0113257,.3957565,18113,1209075,17553,280495,.0625787,.0143778
"Dentists",.0258691,.2451362,.4015037,18900,730600,.0254152,.2028537,.4635287,23600,928580,.023545,.1807633,.3613548,26187,1112210,.0162629,.1447635,.5448886,20937,1287406,.012431,.1082284,.5121608,15030,1209075,-8570,280495,-.0305531,-.0129842
"Real estate sales occupations",.0169724,.0509868,.1033805,12400,730600,.0253936,.0394103,.0652778,23580,928580,.0222044,.0344925,.1213772,24696,1112210,.01739,.0329409,.2200555,22388,1287406,.0116171,.0180893,.0771254,14046,1209075,-9533.999,280495,-.0339899,-.0137765
"Computer systems analysts and computer scientists",.0005475,.0044944,.3086432,400,730600,.0008185,.0038145,.3278854,760,928580,.0022756,.0054751,.3493791,2531,1112210,.0087634,.0068461,.2549362,11282,1287406,.0108265,.0055523,.240911,13090,1209075,12330,280495,.043958,.010008
"Managers of medicine and health occupations",.0039693,.035409,.312991,2900,730600,.0027138,.0241889,.2827028,2520,928580,.0033159,.0165722,.2813137,3688,1112210,.0052524,.0175056,.3301689,6762,1287406,.0106677,.0207268,.3774143,12898,1209075,10378,280495,.0369989,.0079538
"Managers of properties and real estate",.0017794,.0180807,-.1501054,1300,730600,.0052769,.0280706,-.0074039,4900,928580,.0121883,.0372829,.1843228,13556,1112210,.0077637,.0260208,.213112,9995,1287406,.0083767,.0194307,.2184274,10128,1209075,5228,280495,.0186385,.0030998
"Insurance sales occupations",.0188886,.0314781,.1957516,13800,730600,.0230029,.0396378,.2045712,21360,928580,.0227394,.0405485,.2695996,25291,1112210,.0111325,.0305102,.2741912,14332,1287406,.007433,.0177591,.184473,8987,1209075,-12373,280495,-.0441113,-.0155699
"Registered nurses",.0016425,.0014565,.2072021,1200,730600,.0017231,.0012833,.2369495,1600,928580,.0022676,.0013793,.2829158,2522,1112210,.0042924,.0025166,.2474017,5526,1287406,.0066133,.0025679,.3411816,7996,1209075,6396,280495,.0228025,.0048903
"Subject instructors (HS/college)",.0072543,.017219,-.1618839,5300,730600,.0046738,.0082695,-.1911433,4340,928580,.0047419,.0077922,-.3365451,5274,1112210,.0048112,.0057804,-.3051316,6194,1287406,.0062238,.0056216,-.3469401,7525,1209075,3185,280495,.0113549,.00155
"Human resources and labor relations managers",,,,,,.0037907,.0167763,.3185091,3520,928580,.0033114,.0139172,.3660395,3683,1112210,.0052431,.0158395,.3728577,6750,1287406,.0061981,.0167515,.4097263,7494,1209075,3974,280495,.0141678,.0024074
"Personnel, HR, training, and labor relations specialists",,,,,,.0038123,.0088744,.2507374,3540,928580,.0036917,.0083617,.2471383,4106,1112210,.0062661,.0095601,.2812034,8067,1287406,.0061038,.0081009,.3002736,7380,1209075,3840.001,280495,.0136901,.0022916
"Retail sales clerks",.0079387,.0027162,-.2862927,5800,730600,.0001723,.0020413,-.2460709,160,928580,.000499,.0033035,-.2977022,555,1112210,.0123015,.0052758,-.2164257,15837,1287406,.0060302,.0022897,-.2723469,7291,1209075,7131,280495,.0254229,.0058579
"Office supervisors",.0008212,.0056926,.3589962,600,730600,.0030369,.0036605,.2885089,2820,928580,.0021381,.0036079,.3094405,2378,1112210,.0047957,.0037757,.2327947,6174,1287406,.0051783,.0048527,.230324,6261,1209075,3441,280495,.0122676,.0021414
"Economists, market researchers, and survey researchers",.0031481,.0369775,.2304108,2300,730600,.0030154,.0294923,.3257005,2800,928580,.0034634,.0266606,.2885416,3852,1112210,.0025423,.0291234,.2611669,3273,1287406,.005027,.020145,.257912,6078,1209075,3278,280495,.0116865,.0020116
"Airplane pilots and navigators",.0123186,.1587302,.5366781,9000,730600,.0121907,.1564833,.5117369,11320,928580,.0088616,.0931199,.4702945,9856,1112210,.0072704,.0763776,.4183283,9360,1287406,.0047168,.0467816,.5238047,5703,1209075,-5617,280495,-.0200253,-.0074738
"Farmers (owners and tenants)",.0198467,.013385,-.322611,14500,730600,.0235629,.0223804,-.256156,21880,928580,.0037493,.0064722,-.3587422,4170,1112210,.00143,.0039764,-.4303209,1841,1287406,.0046225,.0116397,-.0368149,5589,1209075,-16291,280495,-.0580795,-.0189403
"Supervisors of construction work",,,,,,.0187168,.0240954,.2378791,17380,928580,.008921,.0128266,.2372245,9922,1112210,.0055585,.0080724,.2446826,7156,1287406,.0042785,.0071666,.3468524,5173,1209075,-12207,280495,-.0435195,-.0144383
"Managers of food-serving and lodging establishments",.0088968,.020961,.1040701,6500,730600,,,,,,.0099684,.011584,.084578,11087,1112210,.0055911,.0093067,.09211,7198,1287406,.0041304,.0046255,.1257109,4994,1209075,,,,
"Not-elsewhere-classified engineers",.0047906,.0194769,.2170504,3500,730600,.005083,.0171089,.2552271,4720,928580,.0035704,.0111485,.256406,3971,1112210,.0027653,.0098038,.2442947,3560,1287406,.004013,.0085608,.354915,4852,1209075,132,280495,.0004706,-.00107
"Truck, delivery, and tractor drivers",.0080756,.0027715,.0298851,5900,730600,.0144522,.0049726,.0587608,13420,928580,.0074078,.0026374,.0026197,8239,1112210,.0055429,.0020412,-.0012564,7136,1287406,.004008,.0012596,-.0265527,4846,1209075,-8574,280495,-.0305674,-.0104442
"Managers in education and related fields",.0034218,.0127486,.0126035,2500,730600,.0029507,.0072575,.0477655,2740,928580,.0044893,.0084301,.0114372,4993,1112210,.0039925,.0076056,.0569137,5140,1287406,.0037574,.0054459,.0457739,4543,1209075,1803,280495,.0064279,.0008067
"Actors, directors, producers",.0004106,.0333333,.0132311,300,730600,.0030584,.050805,.0256433,2840,928580,.0033033,.0393821,.0719174,3674,1112210,.0039343,.0322328,.1103129,5065,1287406,.0037558,.023643,.0273787,4541,1209075,1701,280495,.0060643,.0006973
"Architects",.0062962,.0851852,.1898722,4600,730600,.004243,.0386047,.0288521,3940,928580,.0042474,.0317913,.0671604,4724,1112210,.0029245,.0203337,.0520378,3765,1287406,.00352,.0262515,.119964,4256,1209075,315.9998,280495,.0011266,-.000723
"Production supervisors or foremen",.0104024,.0049089,.2507676,7600,730600,.0146676,.0072182,.2579235,13620,928580,.005828,.0050383,.3231501,6482,1112210,.0045704,.0047104,.2558634,5884,1287406,.0034125,.0048422,.2805505,4126,1209075,-9494,280495,-.0338473,-.011255
"Management support occupations",,,,,,.0002154,.0068918,.3246326,200,928580,.0004478,.0014109,.2897362,498,1112210,.0008381,.0048746,.1958657,1079,1287406,.00331,.014127,.2326151,4002,1209075,3802,280495,.0135546,.0030946
"Customer service reps, investigators and adjusters, except insurance",.0030112,.0088424,.1834335,2200,730600,.0008185,.0031614,.2001315,760,928580,.0009881,.0019876,.1839451,1099,1112210,.0031785,.0020163,.0945893,4092,1287406,.0032372,.0014386,-.0614115,3914,1209075,3154,280495,.0112444,.0024187
"Designers",.0035587,.0159216,.0993635,2600,730600,.0024984,.0074521,-.0595142,2320,928580,.0036477,.0072718,-.0278242,4057,1112210,.0030845,.0056576,-.0187118,3971,1287406,.0030875,.004599,-.0182067,3733,1209075,1413,280495,.0050375,.000589
"Nursing aides, orderlies, and attendants",0,0,-.1520884,0,730600,.0022615,.0017269,-.1766317,2100,928580,.0029455,.0020022,-.1997991,3276,1112210,.0035436,.0024722,-.2090457,4562,1287406,.0030403,.0011348,-.2747124,3676,1209075,1576,280495,.0056186,.0007788
"Purchasing managers, agents and buyers, n.e.c.",.0026006,.0118973,.2273062,1900,730600,.0030154,.0109821,.2565726,2800,928580,.0024546,.0078189,.3062062,2730,1112210,.0021873,.0064231,.3077796,2816,1287406,.0027732,.00754,.3218172,3353,1209075,553,280495,.0019715,-.0002422
"Petroleum, mining, and geological engineers",.0004106,.0272727,.1521013,300,730600,.0009908,.0408526,.428988,920,928580,.0006959,.0316668,.4119687,774,1112210,.0003744,.0225835,.37771,482,1287406,.0027227,.0698094,.7171819,3292,1209075,2372,280495,.0084565,.001732
"Writers and authors",.001095,.0355556,-.0302716,800,730600,.0017661,.0409386,-.4229182,1640,928580,.0024914,.0292482,-.2954423,2771,1112210,.0020537,.0184874,-.197698,2644,1287406,.0026227,.0153734,-.3183574,3171,1209075,1531,280495,.0054582,.0008565
"Medical scientists",,,,,,.0025846,.1243523,.2535585,2400,928580,.0006572,.0274915,.0101774,731,1112210,.0010471,.0175315,-.1182077,1348,1287406,.0025648,.0212394,.1464122,3101,1209075,701,280495,.0024992,-.0000198
"Geologists",.0012319,.0456853,.0777863,900,730600,.0023692,.0497288,.1933406,2200,928580,.0010915,.024127,.0818467,1214,1112210,.0004474,.0071217,.0451597,576,1287406,.0025118,.0456644,.1922697,3037,1209075,837,280495,.002984,.0001426
"Primary school teachers",.0023269,.0012422,.0096636,1700,730600,.0018308,.0007556,-.0804797,1700,928580,.0011895,.000453,-.165626,1323,1112210,.0012886,.0005488,-.1626335,1659,1287406,.0024953,.0008942,-.2052683,3017,1209075,1317,280495,.0046953,.0006645
"Athletes, sports instructors, and officials",.0008212,.0143885,-.2254521,600,730600,.0013138,.0268486,-.3562274,1220,928580,.0016184,.0239225,-.3575286,1800,1112210,.002199,.0178427,-.3981258,2831,1287406,.0024126,.0121077,-.4369729,2917,1209075,1697,280495,.00605,.0010988
"Bank tellers",.0002737,.0008214,.1175493,200,730600,.0005815,.0011012,.0434387,540,928580,.0001636,.0003802,-.0211294,182,1112210,.0000816,.0002675,-.0405311,105,1287406,.002396,.0063779,.1195337,2897,1209075,2357,280495,.008403,.0018145
"Secretaries",.0061593,.0017232,.2771339,4500,730600,.0032954,.0008152,.1351841,3060,928580,.0015222,.0004516,.1225646,1693,1112210,.0028585,.0010274,.0786369,3680,1287406,.0023175,.0009379,.0276358,2802,1209075,-258,280495,-.0009198,-.0009779
"Civil engineers",.0045168,.01875,.1887968,3300,730600,.0032092,.0153719,.2068679,2980,928580,.0025751,.011972,.2281951,2864,1112210,.0028344,.014089,.1995033,3649,1287406,.0021794,.0089211,.2852899,2635,1209075,-345,280495,-.00123,-.0010298
"Veterinarians",.0031481,.1314286,.1910166,2300,730600,.0025846,.0728597,.1802513,2400,928580,.0029581,.0704497,.080052,3290,1112210,.001837,.0412927,.163098,2365,1287406,.0021653,.0381967,.182537,2618,1209075,218,280495,.0007772,-.0004193
"Editors and reporters",.003285,.0169851,.0869092,2400,730600,.0021107,.0100616,-.0060837,1960,928580,.0026344,.0117472,.0099116,2930,1112210,.0021842,.0099364,-.0291177,2812,1287406,.0020768,.0081278,-.1002204,2511,1209075,550.9996,280495,.0019644,-.000034
"Pharmacists",.0027375,.0205128,.0551592,2000,730600,.0018308,.0125814,.0469682,1700,928580,.0015258,.0098135,.1823736,1697,1112210,.0021011,.0140409,.2977726,2705,1287406,.0020371,.0087708,.3603681,2463,1209075,762.9998,280495,.0027202,.0002063
"Physical scientists, n.e.c.",.0001369,.1111111,-.0197174,100,730600,.0001077,.0114416,.0695,100,928580,.0001034,.0063589,.0658664,115,1112210,.0012249,.0109168,-.1283201,1577,1287406,.0019577,.0112251,.0098599,2367,1209075,2267,280495,.0080821,.00185
"Managers of service organizations, n.e.c.",,,,,,,,,,,.0029868,.00886,.0786258,3322,1112210,.0024219,.0102554,.1191434,3118,1287406,.0019279,.0047246,.0778859,2331,1209075,,,,
"Actuaries",.0005475,.0816327,.4523511,400,730600,.0005385,.0496032,.4253462,500,928580,.0010933,.0648395,.5540152,1216,1112210,.0012281,.0772048,.5934561,1581,1287406,.0018394,.0821726,.6079382,2224,1209075,1724,280495,.0061463,.001301
"Electrical engineer",.0038325,.0099467,.2553654,2800,730600,.0022184,.0065107,.2720327,2060,928580,.0023359,.0057471,.3266983,2598,1112210,.0033952,.0119268,.2963073,4371,1287406,.0017336,.0081877,.369629,2096,1209075,36,280495,.0001283,-.0004849
"Vocational and educational counselors",.0009581,.0064635,-.0703844,700,730600,.00028,.0013684,-.1192404,260,928580,.0003174,.0015298,-.1732892,353,1112210,.0006463,.001566,-.2107502,832,1287406,.0016459,.0026603,-.2536121,1990,1209075,1730,280495,.0061677,.0013659
"Inspectors and compliance officers, outside construction",.0004106,.0039422,.1292389,300,730600,.0003446,.0022133,.1013145,320,928580,.0004028,.0029333,.1440342,448,1112210,.0004513,.0056473,.243789,581,1287406,.0016227,.0075682,.3127483,1962,1209075,1642,280495,.0058539,.0012781
"Cooks, variously defined",.0006844,.0006537,-.3725669,500,730600,.0018738,.0013395,-.3910002,1740,928580,.0017919,.0010799,-.3842356,1993,1112210,.0030099,.0017718,-.3078231,3875,1287406,.0016202,.0006246,-.3264153,1959,1209075,219,280495,.0007808,-.0002536
"Chemical engineers",.0015056,.0204461,.2123185,1100,730600,.0007538,.0124955,.3143246,700,928580,.000588,.0102863,.3397616,654,1112210,.0004746,.0097374,.3398091,611,1287406,.001593,.0299059,.528586,1926,1209075,1226,280495,.0043708,.0008391
"Advertising and related sales jobs",.0034218,.0389408,.2314748,2500,730600,.0015508,.0137483,.1423492,1440,928580,.002139,.0148879,.1488923,2379,1112210,.0028561,.0183511,.2227637,3677,1287406,.0014308,.0112051,.2103876,1730,1209075,290,280495,.0010339,-.0001199
"Teachers , n.e.c.",.0009581,.0038976,-.3806068,700,730600,.0009477,.0030406,-.4786701,879.9999,928580,.0012543,.0026725,-.4591978,1395,1112210,.0009166,.0008498,-.6155555,1180,1287406,.0014275,.000937,-.5014991,1726,1209075,846.0001,280495,.0030161,.0004799
"Construction laborers",.001095,.0014324,-.1674207,800,730600,.0017661,.0026381,-.1846266,1640,928580,.00254,.0030962,-.1670902,2825,1112210,.0018743,.0020849,-.1280208,2413,1287406,.0013622,.0008867,-.1557391,1647,1209075,7,280495,.000025,-.0004039
"Janitors",.0019162,.0013868,-.2842276,1400,730600,.0023477,.0013055,-.3464617,2180,928580,.0015366,.0008337,-.381253,1709,1112210,.0024188,.0018455,-.388971,3114,1287406,.0013291,.0007129,-.4138403,1607,1209075,-573.0001,280495,-.0020428,-.0010186
"Machine operators, n.e.c.",.0036956,.0008825,.0337461,2700,730600,.0027138,.0013098,.0898786,2520,928580,.0012579,.0009491,.0991233,1399,1112210,.0020095,.0020017,.0182095,2587,1287406,.0012274,.0010689,-.0007725,1484,1209075,-1036,280495,-.0036935,-.0014864
"Other health and therapy",.0012319,.0810811,-.0200889,899.9999,730600,.0019169,.0911885,.0967953,1780,928580,.0035389,.0931223,.003404,3936,1112210,.00198,.0441393,-.1130901,2549,1287406,.0011612,.0184649,-.3081588,1404,1209075,-376,280495,-.0013405,-.0007557
"Insurance adjusters, examiners, and investigators",.0002737,.0020346,.1016211,200,730600,.0004954,.0028746,.2166785,460,928580,.0007274,.0024113,.3091349,809.0001,1112210,.0007364,.0019262,.2227763,948,1287406,.0011447,.0021021,.1833256,1384,1209075,924,280495,.0032942,.0006493
"Material recording, scheduling, production, planning, and expediting clerks",.0004106,.0014815,.1931929,300,730600,.00056,.0014817,.1507438,520,928580,.0007732,.0018984,.1014963,860,1112210,.0019963,.0046505,.1967616,2570,1287406,.0011066,.0024872,.1937361,1338,1209075,818,280495,.0029163,.0005466
"Laborers outside construction",.0015056,.0012295,-.2245142,1100,730600,.0016369,.0013337,-.1172035,1520,928580,.0006033,.0006179,-.1516623,671,1112210,.0019636,.0015499,-.1668511,2528,1287406,.0010917,.0006147,-.2363821,1320,1209075,-200,280495,-.000713,-.0005452
"Legal assistants, paralegals, legal support, etc",,,,,,.0002154,.0027278,.1069428,200,928580,.0008901,.0040434,.220584,990,1112210,.0019862,.0052755,.1902943,2557,1287406,.0010702,.0023705,.2113866,1294,1209075,1094,280495,.0039002,.0008549
"Automobile mechanics",.003285,.00311,.019148,2400,730600,.0027784,.0029693,-.031489,2580,928580,.0011212,.001413,-.0376589,1247,1112210,.0009702,.0012783,-.0602935,1249,1287406,.0010157,.0015086,-.036381,1228,1209075,-1352,280495,-.0048201,-.0017628
"Police, detectives, and private investigators",.0008212,.0016043,.1350541,600,730600,.0007754,.0014735,.1472271,720,928580,.0003767,.0006825,.2659009,419,1112210,.0011504,.0017117,.2600383,1481,1287406,.0009991,.0012124,.3225124,1208,1209075,488,280495,.0017398,.0002237
"Chemists",.0015056,.0097518,.0900304,1100,730600,.0006246,.0058704,.1290231,580,928580,.0006824,.0056579,.0951965,759,1112210,.0004521,.005852,.101726,582,1287406,.000966,.0142181,.204799,1168,1209075,588,280495,.0020963,.0003414
"Optometrists",.0031481,.1474359,.2398185,2300,730600,.0024338,.0987762,.2711239,2260,928580,.0014512,.0665073,.2002502,1614,1112210,.0008459,.0383087,.2876031,1089,1287406,.0009139,.0328341,.228909,1105,1209075,-1155,280495,-.0041177,-.0015199
"Health technologists and technicians, n.e.c.",.0002737,.0036166,.0859405,200,730600,.0005815,.0037578,.0197974,540,928580,.000945,.0026528,.0361155,1051,1112210,.001197,.006126,.0675545,1541,1287406,.0009032,.0024335,.1143737,1092,1209075,552,280495,.0019679,.0003216
"Bookkeepers and accounting and auditing clerks",.0034218,.0017134,.1113433,2500,730600,.0023907,.0012803,.0439225,2220,928580,.0021057,.0013381,.0374371,2342,1112210,.0017562,.0014151,.0449515,2261,1287406,.0008883,.0010014,.0493621,1074,1209075,-1146,280495,-.0040856,-.0015025
"General office clerks",.0038325,.0019393,.0044366,2800,730600,.0016584,.0010022,-.0396621,1540,928580,.0015366,.001297,-.0508394,1709,1112210,.0013244,.0013011,-.1243356,1705,1287406,.0008684,.0008308,-.1094255,1050,1209075,-489.9999,280495,-.0017469,-.00079
"Musician or composer",.0015056,.0138539,-.4700833,1100,730600,.0012061,.0095907,-.6178572,1120,928580,.0012534,.0108104,-.6156033,1394,1112210,.0008102,.0077127,-.5863234,1043,1287406,.0008635,.0060817,-.6838762,1044,1209075,-76,280495,-.0002709,-.0003427
"Plumbers, pipe fitters, and steamfitters",.0009581,.0018602,.2208876,700,730600,.0016584,.0034396,.1469419,1540,928580,.0010708,.0026728,.1296003,1191,1112210,.0007115,.0018195,.1374549,916,1287406,.0008453,.001913,.1728557,1022,1209075,-518,280495,-.0018467,-.0008132
"Dental hygenists",.0001369,.0061728,.4445083,100,730600,0,0,.2659621,0,928580,.0000557,.0008609,.2085371,62,1112210,.0000443,.000509,.2174485,57,1287406,.0008312,.0057287,.2422616,1005,1209075,1005,280495,.003583,.0008312
"Business and promotion agents",,,,,,.0001508,.0073918,.1209745,140,928580,.000864,.0293543,.0965422,961,1112210,.0009461,.0365469,.0845807,1218,1287406,.0008271,.0252947,-.0922869,1000,1209075,860.0001,280495,.003066,.0006763
"Administrative support jobs, n.e.c.",.0019162,.0031496,.0912045,1400,730600,.0008185,.0018016,.0672233,760,928580,.0016067,.0026679,.1035173,1787,1112210,.0012708,.0029863,.0753835,1636,1287406,.0007948,.0014371,.0434013,961,1209075,201,280495,.0007166,-.0000236
"Stock and inventory clerks",.0005475,.0009938,-.0314595,400,730600,.0006677,.0011853,-.0253637,620,928580,.0004594,.0008318,-.0771368,511,1112210,.0010517,.0012046,-.2037708,1354,1287406,.0007874,.0006025,-.301914,952,1209075,332,280495,.0011836,.0001197
